retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n
bm25,score_anti_rrf_c10_a0.25_b0.5,50,0.92,0.88,6.08,6.2,0.25,0.5,10
bm25,score_anti_rrf_c10_a0.25_b0.75,50,0.82,0.86,6.34,6.46,0.25,0.75,10
bm25,score_anti_rrf_c10_a0.25_b1,50,0.72,0.72,6.9,7.42,0.25,1.0,10
bm25,score_anti_rrf_c10_a0.5_b0.1,50,0.92,0.9,5.96,6.16,0.5,0.1,10
bm25,score_anti_rrf_c10_a0.5_b0.2,50,0.92,0.88,5.98,6.16,0.5,0.2,10
bm25,score_anti_rrf_c10_a0.5_b0.3,50,0.92,0.88,6.0,6.18,0.5,0.3,10
bm25,score_anti_rrf_c10_a0.5_b0.5,50,0.9,0.88,6.12,6.16,0.5,0.5,10
bm25,score_anti_rrf_c10_a0.5_b0.75,50,0.88,0.88,6.22,6.34,0.5,0.75,10
bm25,score_anti_rrf_c10_a0.5_b1,50,0.8,0.8,6.58,6.8,0.5,1.0,10
bm25,score_anti_rrf_c10_a0.75_b0.1,50,0.92,0.9,5.96,6.16,0.75,0.1,10
bm25,score_anti_rrf_c10_a0.75_b0.2,50,0.92,0.88,6.02,6.16,0.75,0.2,10
bm25,score_anti_rrf_c10_a0.75_b0.3,50,0.9,0.88,6.04,6.18,0.75,0.3,10
bm25,score_anti_rrf_c10_a0.75_b0.5,50,0.9,0.88,6.14,6.24,0.75,0.5,10
bm25,score_anti_rrf_c10_a0.75_b0.75,50,0.88,0.88,6.2,6.32,0.75,0.75,10
bm25,score_anti_rrf_c10_a0.75_b1,50,0.82,0.86,6.48,6.62,0.75,1.0,10
bm25,score_anti_rrf_c10_a1_b0.1,50,0.92,0.86,6.0,6.24,1.0,0.1,10
bm25,score_anti_rrf_c10_a1_b0.2,50,0.9,0.88,6.06,6.22,1.0,0.2,10
bm25,score_anti_rrf_c10_a1_b0.3,50,0.9,0.88,6.08,6.22,1.0,0.3,10
bm25,score_anti_rrf_c10_a1_b0.5,50,0.9,0.88,6.1,6.26,1.0,0.5,10
bm25,score_anti_rrf_c10_a1_b0.75,50,0.88,0.88,6.16,6.34,1.0,0.75,10
bm25,score_anti_rrf_c10_a1_b1,50,0.84,0.86,6.4,6.56,1.0,1.0,10
bm25,score_anti_rrf_c10_a1.5_b0.1,50,0.92,0.86,6.04,6.24,1.5,0.1,10
bm25,score_anti_rrf_c10_a1.5_b0.2,50,0.9,0.88,6.08,6.22,1.5,0.2,10
bm25,score_anti_rrf_c10_a1.5_b0.3,50,0.9,0.88,6.1,6.22,1.5,0.3,10
bm25,score_anti_rrf_c10_a1.5_b0.5,50,0.9,0.88,6.12,6.26,1.5,0.5,10
bm25,score_anti_rrf_c10_a1.5_b0.75,50,0.88,0.88,6.18,6.32,1.5,0.75,10
bm25,score_anti_rrf_c10_a1.5_b1,50,0.84,0.88,6.4,6.46,1.5,1.0,10
bm25,score_anti_rrf_c10_a2_b0.1,50,0.92,0.86,6.06,6.24,2.0,0.1,10
bm25,score_anti_rrf_c10_a2_b0.2,50,0.92,0.86,6.06,6.26,2.0,0.2,10
bm25,score_anti_rrf_c10_a2_b0.3,50,0.9,0.88,6.08,6.26,2.0,0.3,10
bm25,score_anti_rrf_c10_a2_b0.5,50,0.88,0.88,6.14,6.26,2.0,0.5,10
bm25,score_anti_rrf_c10_a2_b0.75,50,0.88,0.88,6.18,6.3,2.0,0.75,10
bm25,score_anti_rrf_c10_a2_b1,50,0.86,0.88,6.26,6.42,2.0,1.0,10
bm25,score_anti_rrf_c20_a0_b0.1,50,0.92,0.9,5.98,6.1,0.0,0.1,20
bm25,score_anti_rrf_c20_a0_b0.2,50,0.92,0.88,5.98,6.16,0.0,0.2,20
bm25,score_anti_rrf_c20_a0_b0.3,50,0.92,0.88,6.04,6.16,0.0,0.3,20
bm25,score_anti_rrf_c20_a0_b0.5,50,0.86,0.86,6.26,6.32,0.0,0.5,20
bm25,score_anti_rrf_c20_a0_b0.75,50,0.66,0.66,7.26,7.68,0.0,0.75,20
bm25,score_anti_rrf_c20_a0_b1,50,0.24,0.1,14.08,15.96,0.0,1.0,20
bm25,score_anti_rrf_c20_a0.25_b0.1,50,0.92,0.9,5.92,6.14,0.25,0.1,20
bm25,score_anti_rrf_c20_a0.25_b0.2,50,0.92,0.9,5.96,6.14,0.25,0.2,20
bm25,score_anti_rrf_c20_a0.25_b0.3,50,0.92,0.9,5.96,6.18,0.25,0.3,20
bm25,score_anti_rrf_c20_a0.25_b0.5,50,0.9,0.86,6.18,6.24,0.25,0.5,20
bm25,score_anti_rrf_c20_a0.25_b0.75,50,0.78,0.8,6.56,6.7,0.25,0.75,20
bm25,score_anti_rrf_c20_a0.25_b1,50,0.64,0.62,8.04,8.34,0.25,1.0,20
bm25,score_anti_rrf_c20_a0.5_b0.1,50,0.92,0.9,5.98,6.12,0.5,0.1,20
bm25,score_anti_rrf_c20_a0.5_b0.2,50,0.92,0.9,5.98,6.14,0.5,0.2,20
bm25,score_anti_rrf_c20_a0.5_b0.3,50,0.92,0.88,6.0,6.18,0.5,0.3,20
bm25,score_anti_rrf_c20_a0.5_b0.5,50,0.9,0.88,6.12,6.16,0.5,0.5,20
bm25,score_anti_rrf_c20_a0.5_b0.75,50,0.84,0.84,6.36,6.48,0.5,0.75,20
bm25,score_anti_rrf_c20_a0.5_b1,50,0.76,0.78,7.26,7.28,0.5,1.0,20
bm25,score_anti_rrf_c20_a0.75_b0.1,50,0.92,0.9,5.96,6.16,0.75,0.1,20
bm25,score_anti_rrf_c20_a0.75_b0.2,50,0.92,0.88,5.98,6.16,0.75,0.2,20
bm25,score_anti_rrf_c20_a0.75_b0.3,50,0.9,0.88,6.04,6.2,0.75,0.3,20
bm25,score_anti_rrf_c20_a0.75_b0.5,50,0.9,0.88,6.16,6.2,0.75,0.5,20
bm25,score_anti_rrf_c20_a0.75_b0.75,50,0.88,0.88,6.22,6.38,0.75,0.75,20
bm25,score_anti_rrf_c20_a0.75_b1,50,0.78,0.78,6.94,6.94,0.75,1.0,20
bm25,score_anti_rrf_c20_a1_b0.1,50,0.92,0.9,5.94,6.22,1.0,0.1,20
bm25,score_anti_rrf_c20_a1_b0.2,50,0.9,0.88,6.0,6.24,1.0,0.2,20
bm25,score_anti_rrf_c20_a1_b0.3,50,0.9,0.88,6.02,6.22,1.0,0.3,20
bm25,score_anti_rrf_c20_a1_b0.5,50,0.9,0.88,6.12,6.26,1.0,0.5,20
bm25,score_anti_rrf_c20_a1_b0.75,50,0.88,0.88,6.18,6.34,1.0,0.75,20
bm25,score_anti_rrf_c20_a1_b1,50,0.84,0.84,6.56,6.66,1.0,1.0,20
bm25,score_anti_rrf_c20_a1.5_b0.1,50,0.92,0.86,6.02,6.26,1.5,0.1,20
bm25,score_anti_rrf_c20_a1.5_b0.2,50,0.9,0.88,6.04,6.24,1.5,0.2,20
bm25,score_anti_rrf_c20_a1.5_b0.3,50,0.9,0.88,6.08,6.24,1.5,0.3,20
bm25,score_anti_rrf_c20_a1.5_b0.5,50,0.9,0.88,6.1,6.26,1.5,0.5,20
bm25,score_anti_rrf_c20_a1.5_b0.75,50,0.88,0.88,6.18,6.3,1.5,0.75,20
bm25,score_anti_rrf_c20_a1.5_b1,50,0.84,0.88,6.58,6.5,1.5,1.0,20
bm25,score_anti_rrf_c20_a2_b0.1,50,0.92,0.86,6.04,6.24,2.0,0.1,20
bm25,score_anti_rrf_c20_a2_b0.2,50,0.9,0.88,6.08,6.22,2.0,0.2,20
bm25,score_anti_rrf_c20_a2_b0.3,50,0.9,0.88,6.08,6.24,2.0,0.3,20
bm25,score_anti_rrf_c20_a2_b0.5,50,0.9,0.88,6.12,6.24,2.0,0.5,20
bm25,score_anti_rrf_c20_a2_b0.75,50,0.88,0.88,6.16,6.32,2.0,0.75,20
bm25,score_anti_rrf_c20_a2_b1,50,0.84,0.88,6.46,6.48,2.0,1.0,20
bm25,score_anti_rrf_call_a0_b0.1,50,0.94,0.92,2.22,1.76,0.0,0.1,all
bm25,score_anti_rrf_call_a0_b0.2,50,0.92,0.92,2.22,1.82,0.0,0.2,all
bm25,score_anti_rrf_call_a0_b0.3,50,0.92,0.88,2.3,1.94,0.0,0.3,all
bm25,score_anti_rrf_call_a0_b0.5,50,0.78,0.84,2.66,2.86,0.0,0.5,all
bm25,score_anti_rrf_call_a0_b0.75,50,0.58,0.54,9.36,12.54,0.0,0.75,all
bm25,score_anti_rrf_call_a0_b1,50,0.2,0.1,54.42,65.74,0.0,1.0,all
bm25,score_anti_rrf_call_a0.25_b0.1,50,0.94,0.92,2.3,1.84,0.25,0.1,all
bm25,score_anti_rrf_call_a0.25_b0.2,50,0.92,0.9,2.34,1.96,0.25,0.2,all
bm25,score_anti_rrf_call_a0.25_b0.3,50,0.92,0.86,2.4,2.14,0.25,0.3,all
bm25,score_anti_rrf_call_a0.25_b0.5,50,0.88,0.84,2.66,2.86,0.25,0.5,all
bm25,score_anti_rrf_call_a0.25_b0.75,50,0.68,0.74,4.66,6.1,0.25,0.75,all
bm25,score_anti_rrf_call_a0.25_b1,50,0.42,0.34,15.86,19.4,0.25,1.0,all
bm25,score_anti_rrf_call_a0.5_b0.1,50,0.92,0.92,2.48,1.94,0.5,0.1,all
bm25,score_anti_rrf_call_a0.5_b0.2,50,0.92,0.9,2.48,2.04,0.5,0.2,all
bm25,score_anti_rrf_call_a0.5_b0.3,50,0.9,0.88,2.52,2.3,0.5,0.3,all
bm25,score_anti_rrf_call_a0.5_b0.5,50,0.88,0.88,2.68,2.98,0.5,0.5,all
bm25,score_anti_rrf_call_a0.5_b0.75,50,0.74,0.82,3.92,5.2,0.5,0.75,all
bm25,score_anti_rrf_call_a0.5_b1,50,0.64,0.6,9.98,11.42,0.5,1.0,all
bm25,score_anti_rrf_call_a0.75_b0.1,50,0.92,0.9,2.62,2.14,0.75,0.1,all
bm25,score_anti_rrf_call_a0.75_b0.2,50,0.92,0.88,2.64,2.26,0.75,0.2,all
bm25,score_anti_rrf_call_a0.75_b0.3,50,0.9,0.88,2.66,2.56,0.75,0.3,all
bm25,score_anti_rrf_call_a0.75_b0.5,50,0.88,0.88,2.92,3.16,0.75,0.5,all
bm25,score_anti_rrf_call_a0.75_b0.75,50,0.82,0.84,3.72,4.96,0.75,0.75,all
bm25,score_anti_rrf_call_a0.75_b1,50,0.7,0.7,6.68,8.34,0.75,1.0,all
bm25,score_anti_rrf_call_a1_b0.1,50,0.92,0.9,2.9,2.64,1.0,0.1,all
bm25,score_anti_rrf_call_a1_b0.2,50,0.92,0.88,2.84,2.8,1.0,0.2,all
bm25,score_anti_rrf_call_a1_b0.3,50,0.9,0.88,2.96,2.96,1.0,0.3,all
bm25,score_anti_rrf_call_a1_b0.5,50,0.88,0.88,3.16,3.48,1.0,0.5,all
bm25,score_anti_rrf_call_a1_b0.75,50,0.82,0.86,3.9,5.06,1.0,0.75,all
bm25,score_anti_rrf_call_a1_b1,50,0.76,0.78,5.6,6.94,1.0,1.0,all
bm25,score_anti_rrf_call_a1.5_b0.1,50,0.92,0.88,3.5,3.44,1.5,0.1,all
bm25,score_anti_rrf_call_a1.5_b0.2,50,0.88,0.88,3.58,3.54,1.5,0.2,all
bm25,score_anti_rrf_call_a1.5_b0.3,50,0.88,0.88,3.56,3.62,1.5,0.3,all
bm25,score_anti_rrf_call_a1.5_b0.5,50,0.86,0.88,3.76,4.06,1.5,0.5,all
bm25,score_anti_rrf_call_a1.5_b0.75,50,0.84,0.88,4.22,5.4,1.5,0.75,all
bm25,score_anti_rrf_call_a1.5_b1,50,0.8,0.84,5.52,6.66,1.5,1.0,all
bm25,score_anti_rrf_call_a2_b0.1,50,0.9,0.86,4.0,3.7,2.0,0.1,all
bm25,score_anti_rrf_call_a2_b0.2,50,0.88,0.88,4.0,3.84,2.0,0.2,all
bm25,score_anti_rrf_call_a2_b0.3,50,0.88,0.88,4.04,4.0,2.0,0.3,all
bm25,score_anti_rrf_call_a2_b0.5,50,0.86,0.88,4.0,4.42,2.0,0.5,all
bm25,score_anti_rrf_call_a2_b0.75,50,0.84,0.88,4.6,5.58,2.0,0.75,all
bm25,score_anti_rrf_call_a2_b1,50,0.82,0.86,5.6,6.42,2.0,1.0,all
dense,baseline,50,0.9,0.9,3.98,3.96,,,
dense,score_anti_rrf_c5_a0_b0.1,50,0.9,0.92,3.88,4.08,0.0,0.1,5
dense,score_anti_rrf_c5_a0_b0.2,50,0.9,0.92,3.9,4.06,0.0,0.2,5
dense,score_anti_rrf_c5_a0_b0.3,50,0.9,0.92,3.92,4.02,0.0,0.3,5
dense,score_anti_rrf_c5_a0_b0.5,50,0.9,0.9,3.88,4.14,0.0,0.5,5
dense,score_anti_rrf_c5_a0_b0.75,50,0.86,0.84,3.96,4.34,0.0,0.75,5
dense,score_anti_rrf_c5_a0_b1,50,0.78,0.6,4.6,5.14,0.0,1.0,5
dense,score_anti_rrf_c5_a0.25_b0.1,50,0.9,0.92,3.92,4.02,0.25,0.1,5
dense,score_anti_rrf_c5_a0.25_b0.2,50,0.9,0.92,3.94,4.0,0.25,0.2,5
dense,score_anti_rrf_c5_a0.25_b0.3,50,0.9,0.9,3.92,4.04,0.25,0.3,5
dense,score_anti_rrf_c5_a0.25_b0.5,50,0.92,0.88,3.88,4.08,0.25,0.5,5
dense,score_anti_rrf_c5_a0.25_b0.75,50,0.9,0.88,3.92,4.16,0.25,0.75,5
dense,score_anti_rrf_c5_a0.25_b1,50,0.88,0.84,3.96,4.26,0.25,1.0,5
dense,score_anti_rrf_c5_a0.5_b0.1,50,0.9,0.9,3.9,4.04,0.5,0.1,5
dense,score_anti_rrf_c5_a0.5_b0.2,50,0.9,0.9,3.9,4.04,0.5,0.2,5
