retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n
dense,score_anti_rrf_c20_a0.25_b1,50,0.78,0.78,4.34,4.78,0.25,1.0,20
dense,score_anti_rrf_c20_a0.5_b0.1,50,0.9,0.88,3.94,4.12,0.5,0.1,20
dense,score_anti_rrf_c20_a0.5_b0.2,50,0.9,0.88,3.92,4.12,0.5,0.2,20
dense,score_anti_rrf_c20_a0.5_b0.3,50,0.9,0.88,3.9,4.06,0.5,0.3,20
dense,score_anti_rrf_c20_a0.5_b0.5,50,0.92,0.86,3.88,4.1,0.5,0.5,20
dense,score_anti_rrf_c20_a0.5_b0.75,50,0.9,0.88,3.84,4.14,0.5,0.75,20
dense,score_anti_rrf_c20_a0.5_b1,50,0.84,0.84,3.94,4.3,0.5,1.0,20
dense,score_anti_rrf_c20_a0.75_b0.1,50,0.9,0.9,3.94,4.06,0.75,0.1,20
dense,score_anti_rrf_c20_a0.75_b0.2,50,0.9,0.9,3.9,4.06,0.75,0.2,20
dense,score_anti_rrf_c20_a0.75_b0.3,50,0.9,0.9,3.9,4.06,0.75,0.3,20
dense,score_anti_rrf_c20_a0.75_b0.5,50,0.9,0.9,3.88,4.04,0.75,0.5,20
dense,score_anti_rrf_c20_a0.75_b0.75,50,0.92,0.88,3.78,4.04,0.75,0.75,20
dense,score_anti_rrf_c20_a0.75_b1,50,0.88,0.88,3.88,4.14,0.75,1.0,20
dense,score_anti_rrf_c20_a1_b0.1,50,0.9,0.9,3.94,4.02,1.0,0.1,20
dense,score_anti_rrf_c20_a1_b0.2,50,0.9,0.9,3.94,4.02,1.0,0.2,20
dense,score_anti_rrf_c20_a1_b0.3,50,0.9,0.9,3.9,4.04,1.0,0.3,20
dense,score_anti_rrf_c20_a1_b0.5,50,0.9,0.9,3.9,4.02,1.0,0.5,20
dense,score_anti_rrf_c20_a1_b0.75,50,0.92,0.88,3.76,4.02,1.0,0.75,20
dense,score_anti_rrf_c20_a1_b1,50,0.92,0.9,3.74,4.02,1.0,1.0,20
dense,score_anti_rrf_c20_a1.5_b0.1,50,0.9,0.9,3.96,4.02,1.5,0.1,20
dense,score_anti_rrf_c20_a1.5_b0.2,50,0.9,0.9,3.96,4.02,1.5,0.2,20
dense,score_anti_rrf_c20_a1.5_b0.3,50,0.9,0.9,3.94,4.04,1.5,0.3,20
dense,score_anti_rrf_c20_a1.5_b0.5,50,0.9,0.9,3.9,4.04,1.5,0.5,20
dense,score_anti_rrf_c20_a1.5_b0.75,50,0.9,0.92,3.8,3.96,1.5,0.75,20
dense,score_anti_rrf_c20_a1.5_b1,50,0.92,0.9,3.74,3.98,1.5,1.0,20
dense,score_anti_rrf_c20_a2_b0.1,50,0.9,0.9,3.98,4.0,2.0,0.1,20
dense,score_anti_rrf_c20_a2_b0.2,50,0.9,0.9,3.98,4.02,2.0,0.2,20
dense,score_anti_rrf_c20_a2_b0.3,50,0.9,0.9,3.92,4.04,2.0,0.3,20
dense,score_anti_rrf_c20_a2_b0.5,50,0.9,0.9,3.9,4.02,2.0,0.5,20
dense,score_anti_rrf_c20_a2_b0.75,50,0.9,0.9,3.86,4.02,2.0,0.75,20
dense,score_anti_rrf_c20_a2_b1,50,0.92,0.9,3.8,3.96,2.0,1.0,20
dense,score_anti_rrf_call_a0_b0.1,50,0.88,0.9,4.62,4.8,0.0,0.1,all
dense,score_anti_rrf_call_a0_b0.2,50,0.88,0.9,4.76,4.84,0.0,0.2,all
dense,score_anti_rrf_call_a0_b0.3,50,0.9,0.88,4.86,4.96,0.0,0.3,all
dense,score_anti_rrf_call_a0_b0.5,50,0.88,0.9,5.24,5.32,0.0,0.5,all
dense,score_anti_rrf_call_a0_b0.75,50,0.68,0.56,7.88,8.24,0.0,0.75,all
dense,score_anti_rrf_call_a0_b1,50,0.12,0.12,34.0,37.18,0.0,1.0,all
dense,score_anti_rrf_call_a0.25_b0.1,50,0.9,0.88,4.34,4.46,0.25,0.1,all
dense,score_anti_rrf_call_a0.25_b0.2,50,0.9,0.88,4.44,4.62,0.25,0.2,all
dense,score_anti_rrf_call_a0.25_b0.3,50,0.88,0.88,4.56,4.62,0.25,0.3,all
dense,score_anti_rrf_call_a0.25_b0.5,50,0.9,0.88,4.94,4.96,0.25,0.5,all
dense,score_anti_rrf_call_a0.25_b0.75,50,0.84,0.86,5.34,5.4,0.25,0.75,all
dense,score_anti_rrf_call_a0.25_b1,50,0.56,0.5,9.28,9.88,0.25,1.0,all
dense,score_anti_rrf_call_a0.5_b0.1,50,0.9,0.88,4.12,4.28,0.5,0.1,all
dense,score_anti_rrf_call_a0.5_b0.2,50,0.9,0.88,4.04,4.34,0.5,0.2,all
dense,score_anti_rrf_call_a0.5_b0.3,50,0.9,0.88,4.26,4.44,0.5,0.3,all
dense,score_anti_rrf_call_a0.5_b0.5,50,0.9,0.86,4.58,4.6,0.5,0.5,all
dense,score_anti_rrf_call_a0.5_b0.75,50,0.88,0.88,4.72,4.94,0.5,0.75,all
dense,score_anti_rrf_call_a0.5_b1,50,0.76,0.8,6.08,6.16,0.5,1.0,all
dense,score_anti_rrf_call_a0.75_b0.1,50,0.9,0.88,4.06,4.24,0.75,0.1,all
dense,score_anti_rrf_call_a0.75_b0.2,50,0.9,0.88,4.08,4.22,0.75,0.2,all
dense,score_anti_rrf_call_a0.75_b0.3,50,0.9,0.88,4.04,4.2,0.75,0.3,all
dense,score_anti_rrf_call_a0.75_b0.5,50,0.92,0.86,4.38,4.46,0.75,0.5,all
dense,score_anti_rrf_call_a0.75_b0.75,50,0.88,0.88,4.62,4.84,0.75,0.75,all
dense,score_anti_rrf_call_a0.75_b1,50,0.86,0.88,4.96,5.12,0.75,1.0,all
dense,score_anti_rrf_call_a1_b0.1,50,0.9,0.88,4.04,4.22,1.0,0.1,all
dense,score_anti_rrf_call_a1_b0.2,50,0.9,0.9,4.06,4.18,1.0,0.2,all
dense,score_anti_rrf_call_a1_b0.3,50,0.9,0.9,4.02,4.14,1.0,0.3,all
dense,score_anti_rrf_call_a1_b0.5,50,0.92,0.88,4.14,4.2,1.0,0.5,all
dense,score_anti_rrf_call_a1_b0.75,50,0.92,0.88,4.36,4.58,1.0,0.75,all
dense,score_anti_rrf_call_a1_b1,50,0.86,0.88,4.76,4.96,1.0,1.0,all
dense,score_anti_rrf_call_a1.5_b0.1,50,0.9,0.9,3.98,4.14,1.5,0.1,all
dense,score_anti_rrf_call_a1.5_b0.2,50,0.9,0.9,3.96,4.1,1.5,0.2,all
dense,score_anti_rrf_call_a1.5_b0.3,50,0.9,0.9,4.04,4.12,1.5,0.3,all
dense,score_anti_rrf_call_a1.5_b0.5,50,0.9,0.9,4.06,4.02,1.5,0.5,all
dense,score_anti_rrf_call_a1.5_b0.75,50,0.92,0.88,4.1,4.24,1.5,0.75,all
dense,score_anti_rrf_call_a1.5_b1,50,0.9,0.92,4.42,4.58,1.5,1.0,all
dense,score_anti_rrf_call_a2_b0.1,50,0.9,0.9,3.96,4.06,2.0,0.1,all
dense,score_anti_rrf_call_a2_b0.2,50,0.9,0.9,4.06,4.08,2.0,0.2,all
dense,score_anti_rrf_call_a2_b0.3,50,0.9,0.9,4.06,4.14,2.0,0.3,all
dense,score_anti_rrf_call_a2_b0.5,50,0.9,0.9,3.98,4.14,2.0,0.5,all
dense,score_anti_rrf_call_a2_b0.75,50,0.92,0.88,4.02,4.16,2.0,0.75,all
dense,score_anti_rrf_call_a2_b1,50,0.92,0.92,4.2,4.3,2.0,1.0,all
