retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.3,1000,0.732,37.795,60.788,0.913,0.665,0.248,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.10199999999999995,0.75,0.3,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.5,1000,0.781,37.78,61.181,0.906,0.538,0.368,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.13199999999999995,0.75,0.5,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.75,1000,0.833,38.069,61.865,0.88,0.361,0.519,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.16974999999999996,0.75,0.75,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b1,1000,0.8,38.818,62.47,0.645,0.132,0.513,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.16824999999999996,0.75,1.0,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.1,1000,0.688,37.828,60.39,0.92,0.786,0.134,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.07349999999999995,1.0,0.1,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.2,1000,0.702,37.811,60.531,0.921,0.739,0.18200000000000005,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.08549999999999996,1.0,0.2,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.3,1000,0.717,37.801,60.649,0.916,0.705,0.21100000000000008,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.09274999999999997,1.0,0.3,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.5,1000,0.749,37.789,60.927,0.911,0.623,0.28800000000000003,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11199999999999996,1.0,0.5,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.75,1000,0.794,37.786,61.324,0.902,0.502,0.4,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.13999999999999996,1.0,0.75,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b1,1000,0.833,38.069,61.865,0.88,0.361,0.519,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.16974999999999996,1.0,1.0,5
