retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.2,1000,0.816,38.085,66.424,0.889,0.41,0.47900000000000004,0.913,0.477,0.43600000000000005,0.923,0.52,0.403,0.933,0.551,0.382,0.42500000000000004,0.25,0.2,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b0.75,1000,0.809,38.018,65.884,0.898,0.442,0.456,0.919,0.513,0.406,0.926,0.551,0.375,0.933,0.577,0.3560000000000001,0.39825000000000005,1.0,0.75,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.5,1000,0.766,46.193,75.328,0.371,0.025,0.346,0.417,0.029,0.38799999999999996,0.454,0.036,0.41800000000000004,0.481,0.046,0.435,0.39675000000000005,0.25,0.5,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b1,1000,0.766,46.193,75.328,0.371,0.025,0.346,0.417,0.029,0.38799999999999996,0.454,0.036,0.41800000000000004,0.481,0.046,0.435,0.39675000000000005,0.5,1.0,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.75,1000,0.741,42.13,66.85,0.337,0.029,0.308,0.41,0.041,0.369,0.483,0.067,0.416,0.703,0.263,0.43999999999999995,0.38325,0.25,0.75,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.2,1000,0.813,37.88,63.096,0.894,0.436,0.458,0.918,0.516,0.402,0.932,0.586,0.3460000000000001,0.944,0.687,0.2569999999999999,0.36575,0.25,0.2,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.1,1000,0.795,71.479,871.734,0.903,0.489,0.41400000000000003,0.924,0.555,0.369,0.932,0.587,0.3450000000000001,0.94,0.613,0.32699999999999996,0.36375,0.25,0.1,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.2,1000,0.795,71.479,871.734,0.903,0.489,0.41400000000000003,0.924,0.555,0.369,0.932,0.587,0.3450000000000001,0.94,0.613,0.32699999999999996,0.36375,0.5,0.2,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.3,1000,0.795,71.478,871.735,0.903,0.489,0.41400000000000003,0.924,0.555,0.369,0.932,0.587,0.3450000000000001,0.94,0.613,0.32699999999999996,0.36375,0.75,0.3,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.5,1000,0.79,37.946,65.079,0.905,0.491,0.41400000000000003,0.924,0.557,0.367,0.93,0.6,0.33000000000000007,0.94,0.622,0.31799999999999995,0.35725000000000007,0.75,0.5,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b1,1000,0.79,37.946,65.079,0.905,0.491,0.41400000000000003,0.924,0.557,0.367,0.93,0.6,0.33000000000000007,0.94,0.622,0.31799999999999995,0.35725000000000007,1.5,1.0,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b1,1000,0.723,42.449,66.868,0.306,0.025,0.28099999999999997,0.372,0.041,0.331,0.447,0.066,0.381,0.682,0.27,0.41200000000000003,0.35125,0.25,1.0,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b0.75,1000,0.804,37.855,62.894,0.899,0.465,0.434,0.921,0.542,0.379,0.932,0.605,0.32700000000000007,0.945,0.707,0.238,0.34450000000000003,1.0,0.75,10
