retriever,method,samples,recall@3,violation_rate@3,right_rank,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n
bm25,score_anti_rrf_call_a0_b1,1000,0.288,0.0,0.946,20891.247,86818.385,0.0,1.0,all
bm25,score_anti_rrf_call_a0.25_b0.3,1000,0.767,0.481,0.693,785.027,6505.418,0.25,0.3,all
bm25,score_anti_rrf_call_a0.25_b0.5,1000,0.703,0.266,0.789,1493.872,17451.065,0.25,0.5,all
bm25,score_anti_rrf_call_a0.25_b0.75,1000,0.594,0.051,0.904,3691.934,38013.58,0.25,0.75,all
bm25,score_anti_rrf_call_a0.25_b1,1000,0.445,0.003,0.955,9051.062,67692.641,0.25,1.0,all
bm25,score_anti_rrf_call_a0.5_b0.3,1000,0.846,0.569,0.687,304.449,3492.387,0.5,0.3,all
bm25,score_anti_rrf_call_a0.5_b0.5,1000,0.809,0.402,0.772,566.706,9920.221,0.5,0.5,all
bm25,score_anti_rrf_call_a0.5_b0.75,1000,0.726,0.174,0.875,1482.69,25396.926,0.5,0.75,all
bm25,score_anti_rrf_call_a0.5_b1,1000,0.625,0.022,0.949,3668.337,47331.972,0.5,1.0,all
bm25,score_anti_rrf_call_a0.75_b0.3,1000,0.89,0.639,0.686,104.229,2192.001,0.75,0.3,all
bm25,score_anti_rrf_call_a0.75_b0.5,1000,0.866,0.479,0.759,188.22,6059.63,0.75,0.5,all
bm25,score_anti_rrf_call_a0.75_b0.75,1000,0.814,0.261,0.848,608.163,16650.395,0.75,0.75,all
bm25,score_anti_rrf_call_a0.75_b1,1000,0.721,0.097,0.928,1663.827,33435.138,0.75,1.0,all
bm25,score_anti_rrf_call_a1_b0.3,1000,0.901,0.688,0.669,37.889,1408.665,1.0,0.3,all
bm25,score_anti_rrf_call_a1_b0.5,1000,0.892,0.532,0.735,54.673,4105.37,1.0,0.5,all
bm25,score_anti_rrf_call_a1_b0.75,1000,0.862,0.344,0.827,234.719,11237.386,1.0,0.75,all
bm25,score_anti_rrf_call_a1_b1,1000,0.797,0.174,0.903,818.42,23596.684,1.0,1.0,all
