embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.5	0.2	0.3	0.34175	0.138	0.20375	0.596196	0.93725	0.9235	-0.01375	0.928	0.911	0.286	0.104	0.946	0.934	0.382	0.166
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.75	0.5	0.75	0.391	0.18875	0.20225	0.517263	0.93925	0.925	-0.01425	0.928	0.901	0.329	0.085	0.948	0.939	0.44	0.279
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.25	0.2	0.3	0.372	0.1705	0.2015	0.541667	0.938	0.907	-0.031	0.926	0.863	0.291	0.053	0.949	0.941	0.472	0.346
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.75	0.5	0.75	0.37725	0.17875	0.1985	0.526176	0.937	0.9195	-0.0175	0.929	0.892	0.326	0.075	0.946	0.939	0.42	0.267
text-embedding-3-small	baseline - q_trap	all	2	0.75	1	0.4575	0.25925	0.19825	0.433333	0.9425	0.932	-0.0105	0.932	0.92	0.372	0.193	0.951	0.942	0.518	0.307
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.25	0.1	0.2	0.511	0.314	0.197	0.385519	0.9425	0.93425	-0.00825	0.932	0.927	0.456	0.247	0.951	0.942	0.554	0.364
text-embedding-3-small	baseline - q_trap	all	0.75	0.2	0.3	0.60925	0.418	0.19125	0.313911	0.94575	0.94075	-0.005	0.932	0.93	0.53	0.322	0.953	0.95	0.67	0.482
text-embedding-3-small	baseline - q_trap	all	1	0.5	0.75	0.25925	0.068	0.19125	0.737705	0.932	0.8955	-0.0365	0.92	0.879	0.193	0.055	0.942	0.909	0.307	0.077
text-embedding-3-small	baseline - q_trap	10	0.75	0.75	1	0.37425	0.18325	0.191	0.510354	0.93175	0.909	-0.02275	0.905	0.879	0.163	0.048	0.953	0.938	0.585	0.402
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.25	0.1	0.2	0.517	0.3295	0.1875	0.362669	0.942	0.936	-0.006	0.93	0.922	0.451	0.264	0.953	0.945	0.562	0.38
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1.5	0.5	0.75	0.3715	0.1855	0.186	0.500673	0.93875	0.92825	-0.0105	0.924	0.913	0.309	0.144	0.949	0.938	0.415	0.221
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.5	0.2	0.3	0.29775	0.11325	0.1845	0.619647	0.93575	0.9135	-0.02225	0.923	0.896	0.241	0.088	0.945	0.922	0.342	0.139
text-embedding-3-small	baseline - q_trap	all	1.5	0.3	0.5	0.70025	0.52075	0.1795	0.256337	0.94525	0.94475	-0.0005	0.931	0.932	0.617	0.434	0.953	0.952	0.756	0.581
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.5	0.5	0.75	0.281	0.102	0.179	0.637011	0.92925	0.88425	-0.045	0.903	0.824	0.125	0.035	0.947	0.937	0.42	0.219
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.5	0.5	0.75	0.29175	0.11375	0.178	0.610111	0.933	0.886	-0.047	0.904	0.816	0.136	0.036	0.95	0.94	0.435	0.263
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1	0.5	0.75	0.23525	0.05775	0.1775	0.754516	0.93325	0.904	-0.02925	0.925	0.892	0.189	0.048	0.941	0.914	0.273	0.066
text-embedding-3-small	baseline - q_trap	all	2	0.5	0.75	0.63475	0.4575	0.17725	0.279244	0.94625	0.9425	-0.00375	0.933	0.932	0.552	0.372	0.953	0.951	0.694	0.518
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1.5	0.5	0.75	0.4125	0.23525	0.17725	0.429697	0.94075	0.93325	-0.0075	0.933	0.925	0.357	0.189	0.951	0.941	0.452	0.273
text-embedding-3-small	baseline - q_trap	20	1	0.5	0.75	0.63	0.4535	0.1765	0.280159	0.94325	0.93825	-0.005	0.929	0.926	0.55	0.35	0.952	0.948	0.681	0.528
text-embedding-3-small	baseline - q_trap	20	0.5	0.5	0.75	0.23	0.05425	0.17575	0.76413	0.92375	0.87325	-0.0505	0.908	0.846	0.097	0.039	0.939	0.895	0.356	0.071
text-embedding-3-small	baseline - q_trap	all	0.75	0.1	0.2	0.78125	0.60925	0.172	0.22016	0.94775	0.94575	-0.002	0.933	0.932	0.706	0.53	0.957	0.953	0.835	0.67
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.5	0.3	0.5	0.46225	0.29175	0.1705	0.368848	0.9405	0.933	-0.0075	0.925	0.904	0.379	0.136	0.954	0.95	0.556	0.435
text-embedding-3-small	baseline - q_trap	20	0.75	0.3	0.5	0.68775	0.5185	0.16925	0.246092	0.94475	0.93925	-0.0055	0.931	0.926	0.614	0.422	0.954	0.947	0.744	0.596
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.5	0.3	0.5	0.4485	0.281	0.1675	0.373467	0.9405	0.92925	-0.01125	0.928	0.903	0.366	0.125	0.952	0.947	0.541	0.42
text-embedding-3-small	baseline - q_trap	20	0.75	0.75	1	0.23	0.06275	0.16725	0.727174	0.92375	0.88825	-0.0355	0.908	0.863	0.097	0.044	0.939	0.909	0.356	0.085
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.25	0.1	0.2	0.5365	0.372	0.1645	0.306617	0.9435	0.938	-0.0055	0.933	0.926	0.458	0.291	0.952	0.949	0.62	0.472
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	1	0.75	1	0.35175	0.18875	0.163	0.463397	0.938	0.925	-0.013	0.926	0.901	0.292	0.085	0.946	0.939	0.403	0.279
