model,condition,strict_goal_configs,recall_kept_configs,baseline_avg_violation,baseline_avg_recall,best_method,best_candidate_top_n,best_alpha,best_gamma,best_beta,best_strict,best_avg_violation,best_avg_recall,source_csv,baseline_recall@3,best_recall@3,baseline_violation@3,best_violation@3,baseline_recall@5,best_recall@5,baseline_violation@5,best_violation@5,baseline_recall@7,best_recall@7,baseline_violation@7,best_violation@7,baseline_recall@9,best_recall@9,baseline_violation@9,best_violation@9
text-embedding-3-small,baseline - q_trap,13,25,0.88225,0.946,score_anti_rrf_no_target_call_a0.75_b0.1,all,0.75,,0.1,True,0.78125,0.94775,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv,0.931,0.933,0.835,0.706,0.946,0.948,0.883,0.774,0.953,0.953,0.9,0.81,0.954,0.957,0.911,0.835
text-embedding-3-small,q_target - q_trap,0,0,0.88225,0.946,score_target_minus_trap_c20_g0.5_b0.5,20,0.5,0.5,0.5,False,0.0615,0.8865000000000001,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv,0.931,0.85,0.835,0.039,0.946,0.885,0.883,0.053,0.953,0.901,0.9,0.07,0.954,0.91,0.911,0.084
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,2,4,0.7414999999999999,0.94575,score_anti_rrf_no_target_call_a1.5_b0.1,all,1.5,,0.1,True,0.663,0.9464999999999999,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv,0.931,0.931,0.669,0.593,0.942,0.944,0.739,0.659,0.953,0.954,0.771,0.687,0.957,0.957,0.787,0.713
Qwen/Qwen3-Embedding-0.6B,q_target - q_trap,0,0,0.7414999999999999,0.94575,score_target_minus_trap_c20_g0.5_b0.5,20,0.5,0.5,0.5,False,0.052,0.8935,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv,0.931,0.847,0.669,0.03,0.942,0.895,0.739,0.051,0.953,0.911,0.771,0.059,0.957,0.921,0.787,0.068
Qwen/Qwen3-Embedding-4B,baseline - q_trap,0,4,0.75175,0.94525,score_anti_rrf_no_target_call_a1_b0.75,all,1.0,,0.75,False,0.05775,0.904,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv,0.935,0.892,0.694,0.048,0.943,0.903,0.748,0.058,0.947,0.907,0.775,0.059,0.956,0.914,0.79,0.066
Qwen/Qwen3-Embedding-4B,q_target - q_trap,0,0,0.75175,0.94525,score_target_minus_trap_call_g0.5_b0.3,all,0.5,0.5,0.3,False,0.059250000000000004,0.90175,results/excluir_1000_qwen3_embedding_4b_rewriter_gpt4o_mini_v3_oracle_style_trap_target_minus_trap_top3579/score_anti_rrf_results.csv,0.935,0.881,0.694,0.047,0.943,0.902,0.748,0.056,0.947,0.907,0.775,0.065,0.956,0.917,0.79,0.069
