retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b0.5,1000,0.91,56.056,254.272,0.91,0.129,0.781,0.928,0.161,0.767,0.935,0.179,0.756,0.943,0.198,0.7449999999999999,0.7622500000000001,1.5,1.5,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.5,1000,0.93,481.471,14984.262,0.912,0.141,0.771,0.929,0.162,0.767,0.935,0.178,0.7570000000000001,0.938,0.19,0.748,0.76075,2.0,2.0,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.3,1000,0.908,56.02,254.074,0.913,0.14,0.773,0.932,0.169,0.763,0.938,0.19,0.748,0.944,0.208,0.736,0.7549999999999999,1.0,1.0,0.3,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.2,1000,0.907,56.001,253.849,0.916,0.148,0.768,0.934,0.177,0.7570000000000001,0.94,0.198,0.742,0.944,0.215,0.729,0.7490000000000001,0.75,0.75,0.2,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g2_b0.5,1000,0.906,55.994,253.725,0.916,0.151,0.765,0.934,0.18,0.754,0.94,0.201,0.7389999999999999,0.944,0.219,0.725,0.74575,2.0,2.0,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.1,1000,0.921,414.581,11790.488,0.915,0.153,0.762,0.929,0.178,0.7510000000000001,0.937,0.195,0.742,0.938,0.211,0.727,0.7454999999999999,0.5,0.5,0.1,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.2,1000,0.921,414.581,11790.488,0.915,0.153,0.762,0.929,0.178,0.7510000000000001,0.937,0.195,0.742,0.938,0.211,0.727,0.7454999999999999,1.0,1.0,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.3,1000,0.921,414.581,11790.491,0.915,0.153,0.762,0.929,0.178,0.7510000000000001,0.937,0.195,0.742,0.938,0.211,0.727,0.7454999999999999,1.5,1.5,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.3,1000,0.914,56.381,249.043,0.834,0.092,0.742,0.89,0.12,0.77,0.922,0.157,0.765,0.944,0.244,0.7,0.7442500000000001,0.5,0.5,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b0.5,1000,0.911,56.085,248.857,0.886,0.109,0.777,0.913,0.141,0.772,0.934,0.176,0.758,0.946,0.28,0.6659999999999999,0.74325,1.0,1.0,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1.5_b0.75,1000,0.911,56.085,248.857,0.886,0.109,0.777,0.913,0.141,0.772,0.934,0.176,0.758,0.946,0.28,0.6659999999999999,0.74325,1.5,1.5,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g2_b1,1000,0.911,56.085,248.857,0.886,0.109,0.777,0.913,0.141,0.772,0.934,0.176,0.758,0.946,0.28,0.6659999999999999,0.74325,2.0,2.0,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.5,1000,0.917,56.627,249.172,0.798,0.082,0.7160000000000001,0.86,0.103,0.757,0.908,0.134,0.774,0.941,0.225,0.716,0.74075,0.75,0.75,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1.5_b1,1000,0.917,56.627,249.172,0.798,0.082,0.7160000000000001,0.86,0.103,0.757,0.908,0.134,0.774,0.941,0.225,0.716,0.74075,1.5,1.5,1.0,10
