embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
text-embedding-3-small,target - beta*q_trap,all,0.00,1000,132.228,3012.746,0.921,0.252,-0.010000000000000009,-0.583,0.93,0.306,-0.015999999999999903,-0.577,0.938,0.346,-0.015000000000000013,-0.554,0.944,0.375,-0.010000000000000009,-0.536,0.9332499999999999,0.31975,-0.012750000000000039,-0.5625,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.01,1000,138.81,3248.433,0.921,0.247,-0.010000000000000009,-0.588,0.93,0.298,-0.015999999999999903,-0.585,0.937,0.333,-0.015999999999999903,-0.567,0.944,0.361,-0.010000000000000009,-0.55,0.933,0.30974999999999997,-0.0129999999999999,-0.5725,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.02,1000,145.525,3500.809,0.921,0.236,-0.010000000000000009,-0.599,0.929,0.292,-0.016999999999999904,-0.591,0.936,0.321,-0.016999999999999904,-0.579,0.944,0.352,-0.010000000000000009,-0.559,0.9325,0.30025,-0.013499999999999956,-0.582,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.03,1000,152.292,3768.992,0.92,0.234,-0.01100000000000001,-0.601,0.928,0.283,-0.017999999999999905,-0.6000000000000001,0.937,0.311,-0.015999999999999903,-0.589,0.945,0.347,-0.009000000000000008,-0.5640000000000001,0.9325,0.29375,-0.013499999999999956,-0.5885,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.04,1000,159.196,4055.445,0.92,0.229,-0.01100000000000001,-0.606,0.928,0.275,-0.017999999999999905,-0.608,0.936,0.303,-0.016999999999999904,-0.597,0.944,0.329,-0.010000000000000009,-0.5820000000000001,0.932,0.284,-0.013999999999999901,-0.59825,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.05,1000,166.176,4360.987,0.918,0.222,-0.013000000000000012,-0.613,0.928,0.263,-0.017999999999999905,-0.62,0.936,0.295,-0.016999999999999904,-0.605,0.945,0.321,-0.009000000000000008,-0.5900000000000001,0.93175,0.27525,-0.014249999999999985,-0.607,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.06,1000,173.241,4685.437,0.917,0.214,-0.014000000000000012,-0.621,0.929,0.257,-0.016999999999999904,-0.626,0.937,0.288,-0.015999999999999903,-0.6120000000000001,0.942,0.313,-0.01200000000000001,-0.5980000000000001,0.9312500000000001,0.26799999999999996,-0.014749999999999819,-0.61425,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.07,1000,180.147,5031.161,0.917,0.212,-0.014000000000000012,-0.623,0.929,0.246,-0.016999999999999904,-0.637,0.936,0.28,-0.016999999999999904,-0.62,0.941,0.299,-0.013000000000000012,-0.6120000000000001,0.93075,0.25925,-0.015249999999999986,-0.623,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.08,1000,187.051,5398.885,0.917,0.206,-0.014000000000000012,-0.629,0.929,0.242,-0.016999999999999904,-0.641,0.935,0.27,-0.017999999999999905,-0.63,0.942,0.29,-0.01200000000000001,-0.621,0.93075,0.252,-0.015249999999999986,-0.63025,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.09,1000,194.191,5789.836,0.915,0.199,-0.016000000000000014,-0.6359999999999999,0.929,0.239,-0.016999999999999904,-0.644,0.935,0.26,-0.017999999999999905,-0.64,0.941,0.281,-0.013000000000000012,-0.63,0.9299999999999999,0.24475,-0.016000000000000014,-0.6375,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.10,1000,201.313,6203.327,0.916,0.193,-0.015000000000000013,-0.6419999999999999,0.928,0.233,-0.017999999999999905,-0.65,0.933,0.253,-0.019999999999999907,-0.647,0.939,0.276,-0.015000000000000013,-0.635,0.929,0.23875000000000002,-0.016999999999999904,-0.6435,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.11,1000,208.301,6642.513,0.915,0.187,-0.016000000000000014,-0.6479999999999999,0.929,0.225,-0.016999999999999904,-0.658,0.933,0.248,-0.019999999999999907,-0.652,0.938,0.269,-0.016000000000000014,-0.642,0.92875,0.23225,-0.017249999999999988,-0.6499999999999999,False,False,True,True
