retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b0.5,1000,0.907,24.761,54.692,0.896,0.134,0.762,0.919,0.17,0.749,0.924,0.2,0.724,0.93,0.222,0.7080000000000001,0.7357500000000001,1.5,1.5,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.5,1000,0.927,337.138,12414.589,0.909,0.146,0.763,0.921,0.185,0.736,0.927,0.209,0.7180000000000001,0.93,0.223,0.7070000000000001,0.7310000000000001,2.0,2.0,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.3,1000,0.905,24.713,54.406,0.904,0.14,0.764,0.921,0.183,0.738,0.928,0.21,0.7180000000000001,0.934,0.238,0.6960000000000001,0.7290000000000001,1.0,1.0,0.3,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.3,1000,0.911,24.997,48.769,0.814,0.099,0.715,0.892,0.126,0.766,0.924,0.169,0.755,0.943,0.278,0.6649999999999999,0.72525,0.5,0.5,0.3,10
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.5,1000,0.913,25.256,48.887,0.78,0.09,0.6900000000000001,0.86,0.114,0.746,0.915,0.155,0.76,0.943,0.257,0.6859999999999999,0.7204999999999999,0.75,0.75,0.5,10
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1.5_b1,1000,0.913,25.256,48.887,0.78,0.09,0.6900000000000001,0.86,0.114,0.746,0.915,0.155,0.76,0.943,0.257,0.6859999999999999,0.7204999999999999,1.5,1.5,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b0.5,1000,0.909,24.706,48.553,0.877,0.113,0.764,0.918,0.149,0.769,0.933,0.203,0.73,0.944,0.328,0.6159999999999999,0.7197499999999999,1.0,1.0,0.5,10
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1.5_b0.75,1000,0.909,24.706,48.553,0.877,0.113,0.764,0.918,0.149,0.769,0.933,0.203,0.73,0.944,0.328,0.6159999999999999,0.7197499999999999,1.5,1.5,0.75,10
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g2_b1,1000,0.909,24.706,48.553,0.877,0.113,0.764,0.918,0.149,0.769,0.933,0.203,0.73,0.944,0.328,0.6159999999999999,0.7197499999999999,2.0,2.0,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.2,1000,0.902,24.679,54.129,0.908,0.154,0.754,0.923,0.194,0.7290000000000001,0.929,0.223,0.7060000000000001,0.935,0.25,0.685,0.7185,0.75,0.75,0.2,20
