retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,variant,alpha,beta,margin,threshold,candidate_top_n
bm25,baseline,50,0.88,0.86,6.12,6.36,baseline,,,,,
bm25,linear_score_c5_a0_b0.25_m0_t0,50,0.84,0.86,6.18,6.38,linear,0.0,0.25,0.0,0.0,5
bm25,linear_score_c5_a0_b0.5_m0_t0,50,0.84,0.82,6.26,6.46,linear,0.0,0.5,0.0,0.0,5
bm25,linear_score_c5_a0_b0.75_m0_t0,50,0.84,0.8,6.32,6.6,linear,0.0,0.75,0.0,0.0,5
bm25,linear_score_c5_a0_b1_m0_t0,50,0.66,0.52,6.96,7.72,linear,0.0,1.0,0.0,0.0,5
bm25,linear_score_c5_a0_b1.5_m0_t0,50,0.28,0.18,7.96,8.6,linear,0.0,1.5,0.0,0.0,5
bm25,linear_score_c5_a0_b2_m0_t0,50,0.2,0.16,8.14,8.6,linear,0.0,2.0,0.0,0.0,5
bm25,linear_score_c5_a0_b3_m0_t0,50,0.14,0.12,8.28,8.64,linear,0.0,3.0,0.0,0.0,5
bm25,linear_score_c5_a0.25_b0.25_m0_t0,50,0.86,0.88,6.18,6.3,linear,0.25,0.25,0.0,0.0,5
bm25,linear_score_c5_a0.25_b0.5_m0_t0,50,0.84,0.86,6.22,6.34,linear,0.25,0.5,0.0,0.0,5
bm25,linear_score_c5_a0.25_b0.75_m0_t0,50,0.84,0.82,6.3,6.46,linear,0.25,0.75,0.0,0.0,5
bm25,linear_score_c5_a0.25_b1_m0_t0,50,0.84,0.8,6.34,6.6,linear,0.25,1.0,0.0,0.0,5
bm25,linear_score_c5_a0.25_b1.5_m0_t0,50,0.38,0.2,7.8,8.44,linear,0.25,1.5,0.0,0.0,5
bm25,linear_score_c5_a0.25_b2_m0_t0,50,0.26,0.18,8.02,8.58,linear,0.25,2.0,0.0,0.0,5
bm25,linear_score_c5_a0.25_b3_m0_t0,50,0.14,0.14,8.26,8.62,linear,0.25,3.0,0.0,0.0,5
bm25,linear_score_c5_a0.5_b0.25_m0_t0,50,0.88,0.88,6.12,6.3,linear,0.5,0.25,0.0,0.0,5
bm25,linear_score_c5_a0.5_b0.5_m0_t0,50,0.84,0.88,6.2,6.32,linear,0.5,0.5,0.0,0.0,5
bm25,linear_score_c5_a0.5_b0.75_m0_t0,50,0.84,0.88,6.24,6.32,linear,0.5,0.75,0.0,0.0,5
bm25,linear_score_c5_a0.5_b1_m0_t0,50,0.84,0.82,6.3,6.48,linear,0.5,1.0,0.0,0.0,5
bm25,linear_score_c5_a0.5_b1.5_m0_t0,50,0.58,0.48,7.16,7.84,linear,0.5,1.5,0.0,0.0,5
bm25,linear_score_c5_a0.5_b2_m0_t0,50,0.32,0.2,7.88,8.48,linear,0.5,2.0,0.0,0.0,5
bm25,linear_score_c5_a0.5_b3_m0_t0,50,0.18,0.14,8.18,8.62,linear,0.5,3.0,0.0,0.0,5
bm25,linear_score_c5_a0.75_b0.25_m0_t0,50,0.9,0.88,6.12,6.28,linear,0.75,0.25,0.0,0.0,5
bm25,linear_score_c5_a0.75_b0.5_m0_t0,50,0.88,0.88,6.12,6.3,linear,0.75,0.5,0.0,0.0,5
bm25,linear_score_c5_a0.75_b0.75_m0_t0,50,0.84,0.88,6.2,6.32,linear,0.75,0.75,0.0,0.0,5
bm25,linear_score_c5_a0.75_b1_m0_t0,50,0.84,0.88,6.26,6.34,linear,0.75,1.0,0.0,0.0,5
bm25,linear_score_c5_a0.75_b1.5_m0_t0,50,0.8,0.78,6.4,6.66,linear,0.75,1.5,0.0,0.0,5
bm25,linear_score_c5_a0.75_b2_m0_t0,50,0.46,0.24,7.62,8.36,linear,0.75,2.0,0.0,0.0,5
bm25,linear_score_c5_a0.75_b3_m0_t0,50,0.22,0.16,8.1,8.56,linear,0.75,3.0,0.0,0.0,5
bm25,linear_score_c5_a1_b0.25_m0_t0,50,0.9,0.88,6.1,6.3,linear,1.0,0.25,0.0,0.0,5
bm25,linear_score_c5_a1_b0.5_m0_t0,50,0.9,0.88,6.08,6.32,linear,1.0,0.5,0.0,0.0,5
bm25,linear_score_c5_a1_b0.75_m0_t0,50,0.88,0.88,6.1,6.32,linear,1.0,0.75,0.0,0.0,5
bm25,linear_score_c5_a1_b1_m0_t0,50,0.84,0.88,6.2,6.34,linear,1.0,1.0,0.0,0.0,5
bm25,linear_score_c5_a1_b1.5_m0_t0,50,0.84,0.82,6.24,6.56,linear,1.0,1.5,0.0,0.0,5
bm25,linear_score_c5_a1_b2_m0_t0,50,0.58,0.52,7.2,7.78,linear,1.0,2.0,0.0,0.0,5
bm25,linear_score_c5_a1_b3_m0_t0,50,0.28,0.18,8.0,8.52,linear,1.0,3.0,0.0,0.0,5
bm25,linear_score_c5_a1.5_b0.25_m0_t0,50,0.9,0.88,6.12,6.28,linear,1.5,0.25,0.0,0.0,5
bm25,linear_score_c5_a1.5_b0.5_m0_t0,50,0.9,0.88,6.1,6.3,linear,1.5,0.5,0.0,0.0,5
bm25,linear_score_c5_a1.5_b0.75_m0_t0,50,0.9,0.88,6.12,6.28,linear,1.5,0.75,0.0,0.0,5
bm25,linear_score_c5_a1.5_b1_m0_t0,50,0.9,0.88,6.1,6.3,linear,1.5,1.0,0.0,0.0,5
bm25,linear_score_c5_a1.5_b1.5_m0_t0,50,0.84,0.88,6.24,6.34,linear,1.5,1.5,0.0,0.0,5
bm25,linear_score_c5_a1.5_b2_m0_t0,50,0.82,0.82,6.28,6.56,linear,1.5,2.0,0.0,0.0,5
bm25,linear_score_c5_a1.5_b3_m0_t0,50,0.4,0.22,7.72,8.42,linear,1.5,3.0,0.0,0.0,5
bm25,linear_score_c5_a2_b0.25_m0_t0,50,0.92,0.88,6.04,6.26,linear,2.0,0.25,0.0,0.0,5
bm25,linear_score_c5_a2_b0.5_m0_t0,50,0.92,0.88,6.1,6.24,linear,2.0,0.5,0.0,0.0,5
bm25,linear_score_c5_a2_b0.75_m0_t0,50,0.9,0.88,6.1,6.28,linear,2.0,0.75,0.0,0.0,5
bm25,linear_score_c5_a2_b1_m0_t0,50,0.9,0.88,6.12,6.28,linear,2.0,1.0,0.0,0.0,5
bm25,linear_score_c5_a2_b1.5_m0_t0,50,0.9,0.88,6.12,6.3,linear,2.0,1.5,0.0,0.0,5
bm25,linear_score_c5_a2_b2_m0_t0,50,0.84,0.88,6.24,6.36,linear,2.0,2.0,0.0,0.0,5
bm25,linear_score_c5_a2_b3_m0_t0,50,0.58,0.52,7.18,7.76,linear,2.0,3.0,0.0,0.0,5
bm25,linear_score_c10_a0_b0.25_m0_t0,50,0.84,0.84,6.46,6.68,linear,0.0,0.25,0.0,0.0,10
bm25,linear_score_c10_a0_b0.5_m0_t0,50,0.84,0.8,6.64,6.84,linear,0.0,0.5,0.0,0.0,10
bm25,linear_score_c10_a0_b0.75_m0_t0,50,0.8,0.74,6.78,7.2,linear,0.0,0.75,0.0,0.0,10
bm25,linear_score_c10_a0_b1_m0_t0,50,0.44,0.2,9.08,10.3,linear,0.0,1.0,0.0,0.0,10
bm25,linear_score_c10_a0_b1.5_m0_t0,50,0.06,0.08,11.86,12.58,linear,0.0,1.5,0.0,0.0,10
bm25,linear_score_c10_a0_b2_m0_t0,50,0.04,0.06,12.38,12.82,linear,0.0,2.0,0.0,0.0,10
bm25,linear_score_c10_a0_b3_m0_t0,50,0.04,0.06,12.56,12.92,linear,0.0,3.0,0.0,0.0,10
bm25,linear_score_c10_a0.25_b0.25_m0_t0,50,0.86,0.88,6.2,6.36,linear,0.25,0.25,0.0,0.0,10
bm25,linear_score_c10_a0.25_b0.5_m0_t0,50,0.84,0.82,6.52,6.66,linear,0.25,0.5,0.0,0.0,10
bm25,linear_score_c10_a0.25_b0.75_m0_t0,50,0.84,0.8,6.68,6.82,linear,0.25,0.75,0.0,0.0,10
bm25,linear_score_c10_a0.25_b1_m0_t0,50,0.78,0.72,6.86,7.36,linear,0.25,1.0,0.0,0.0,10
bm25,linear_score_c10_a0.25_b1.5_m0_t0,50,0.14,0.1,11.18,12.3,linear,0.25,1.5,0.0,0.0,10
bm25,linear_score_c10_a0.25_b2_m0_t0,50,0.06,0.08,12.04,12.66,linear,0.25,2.0,0.0,0.0,10
bm25,linear_score_c10_a0.25_b3_m0_t0,50,0.04,0.06,12.58,12.92,linear,0.25,3.0,0.0,0.0,10
bm25,linear_score_c10_a0.5_b0.25_m0_t0,50,0.88,0.88,6.14,6.26,linear,0.5,0.25,0.0,0.0,10
bm25,linear_score_c10_a0.5_b0.5_m0_t0,50,0.86,0.88,6.26,6.42,linear,0.5,0.5,0.0,0.0,10
bm25,linear_score_c10_a0.5_b0.75_m0_t0,50,0.84,0.82,6.58,6.68,linear,0.5,0.75,0.0,0.0,10
bm25,linear_score_c10_a0.5_b1_m0_t0,50,0.84,0.78,6.68,6.88,linear,0.5,1.0,0.0,0.0,10
bm25,linear_score_c10_a0.5_b1.5_m0_t0,50,0.4,0.14,9.4,10.52,linear,0.5,1.5,0.0,0.0,10
bm25,linear_score_c10_a0.5_b2_m0_t0,50,0.12,0.08,11.46,12.44,linear,0.5,2.0,0.0,0.0,10
bm25,linear_score_c10_a0.5_b3_m0_t0,50,0.04,0.06,12.4,12.8,linear,0.5,3.0,0.0,0.0,10
bm25,linear_score_c10_a0.75_b0.25_m0_t0,50,0.9,0.88,6.1,6.22,linear,0.75,0.25,0.0,0.0,10
bm25,linear_score_c10_a0.75_b0.5_m0_t0,50,0.88,0.88,6.16,6.28,linear,0.75,0.5,0.0,0.0,10
bm25,linear_score_c10_a0.75_b0.75_m0_t0,50,0.84,0.88,6.42,6.46,linear,0.75,0.75,0.0,0.0,10
bm25,linear_score_c10_a0.75_b1_m0_t0,50,0.82,0.82,6.6,6.72,linear,0.75,1.0,0.0,0.0,10
bm25,linear_score_c10_a0.75_b1.5_m0_t0,50,0.64,0.66,7.3,7.8,linear,0.75,1.5,0.0,0.0,10
bm25,linear_score_c10_a0.75_b2_m0_t0,50,0.16,0.1,10.82,12.08,linear,0.75,2.0,0.0,0.0,10
bm25,linear_score_c10_a0.75_b3_m0_t0,50,0.06,0.06,12.22,12.76,linear,0.75,3.0,0.0,0.0,10
bm25,linear_score_c10_a1_b0.25_m0_t0,50,0.9,0.88,6.06,6.22,linear,1.0,0.25,0.0,0.0,10
bm25,linear_score_c10_a1_b0.5_m0_t0,50,0.9,0.88,6.1,6.26,linear,1.0,0.5,0.0,0.0,10
bm25,linear_score_c10_a1_b0.75_m0_t0,50,0.88,0.88,6.16,6.34,linear,1.0,0.75,0.0,0.0,10
bm25,linear_score_c10_a1_b1_m0_t0,50,0.84,0.86,6.4,6.56,linear,1.0,1.0,0.0,0.0,10
bm25,linear_score_c10_a1_b1.5_m0_t0,50,0.8,0.76,6.7,7.14,linear,1.0,1.5,0.0,0.0,10
bm25,linear_score_c10_a1_b2_m0_t0,50,0.38,0.14,9.32,10.5,linear,1.0,2.0,0.0,0.0,10
bm25,linear_score_c10_a1_b3_m0_t0,50,0.06,0.08,11.92,12.58,linear,1.0,3.0,0.0,0.0,10
bm25,linear_score_c10_a1.5_b0.25_m0_t0,50,0.92,0.88,6.0,6.16,linear,1.5,0.25,0.0,0.0,10
bm25,linear_score_c10_a1.5_b0.5_m0_t0,50,0.9,0.88,6.04,6.2,linear,1.5,0.5,0.0,0.0,10
bm25,linear_score_c10_a1.5_b0.75_m0_t0,50,0.9,0.88,6.16,6.22,linear,1.5,0.75,0.0,0.0,10
bm25,linear_score_c10_a1.5_b1_m0_t0,50,0.88,0.88,6.18,6.26,linear,1.5,1.0,0.0,0.0,10
bm25,linear_score_c10_a1.5_b1.5_m0_t0,50,0.82,0.86,6.5,6.62,linear,1.5,1.5,0.0,0.0,10
bm25,linear_score_c10_a1.5_b2_m0_t0,50,0.72,0.74,6.96,7.38,linear,1.5,2.0,0.0,0.0,10
bm25,linear_score_c10_a1.5_b3_m0_t0,50,0.16,0.1,11.04,12.34,linear,1.5,3.0,0.0,0.0,10
bm25,linear_score_c10_a2_b0.25_m0_t0,50,0.92,0.9,5.98,6.14,linear,2.0,0.25,0.0,0.0,10
bm25,linear_score_c10_a2_b0.5_m0_t0,50,0.92,0.88,6.0,6.16,linear,2.0,0.5,0.0,0.0,10
bm25,linear_score_c10_a2_b0.75_m0_t0,50,0.92,0.88,6.0,6.18,linear,2.0,0.75,0.0,0.0,10
bm25,linear_score_c10_a2_b1_m0_t0,50,0.9,0.88,6.12,6.16,linear,2.0,1.0,0.0,0.0,10
bm25,linear_score_c10_a2_b1.5_m0_t0,50,0.88,0.88,6.22,6.34,linear,2.0,1.5,0.0,0.0,10
bm25,linear_score_c10_a2_b2_m0_t0,50,0.8,0.8,6.58,6.8,linear,2.0,2.0,0.0,0.0,10
bm25,linear_score_c10_a2_b3_m0_t0,50,0.36,0.16,9.3,10.46,linear,2.0,3.0,0.0,0.0,10
bm25,linear_score_c20_a0_b0.25_m0_t0,50,0.84,0.8,6.58,6.78,linear,0.0,0.25,0.0,0.0,20
bm25,linear_score_c20_a0_b0.5_m0_t0,50,0.84,0.78,7.24,7.42,linear,0.0,0.5,0.0,0.0,20
bm25,linear_score_c20_a0_b0.75_m0_t0,50,0.72,0.64,8.2,8.54,linear,0.0,0.75,0.0,0.0,20
bm25,linear_score_c20_a0_b1_m0_t0,50,0.22,0.12,14.26,15.92,linear,0.0,1.0,0.0,0.0,20
bm25,linear_score_c20_a0_b1.5_m0_t0,50,0.08,0.08,20.04,20.84,linear,0.0,1.5,0.0,0.0,20
bm25,linear_score_c20_a0_b2_m0_t0,50,0.06,0.06,20.88,21.32,linear,0.0,2.0,0.0,0.0,20
bm25,linear_score_c20_a0_b3_m0_t0,50,0.04,0.04,21.24,21.66,linear,0.0,3.0,0.0,0.0,20
bm25,linear_score_c20_a0.25_b0.25_m0_t0,50,0.86,0.88,6.2,6.38,linear,0.25,0.25,0.0,0.0,20
bm25,linear_score_c20_a0.25_b0.5_m0_t0,50,0.84,0.8,6.7,6.78,linear,0.25,0.5,0.0,0.0,20
bm25,linear_score_c20_a0.25_b0.75_m0_t0,50,0.82,0.78,7.42,7.54,linear,0.25,0.75,0.0,0.0,20
bm25,linear_score_c20_a0.25_b1_m0_t0,50,0.6,0.58,8.64,8.94,linear,0.25,1.0,0.0,0.0,20
bm25,linear_score_c20_a0.25_b1.5_m0_t0,50,0.14,0.1,17.94,20.14,linear,0.25,1.5,0.0,0.0,20
bm25,linear_score_c20_a0.25_b2_m0_t0,50,0.08,0.08,20.44,21.14,linear,0.25,2.0,0.0,0.0,20
bm25,linear_score_c20_a0.25_b3_m0_t0,50,0.06,0.06,21.08,21.5,linear,0.25,3.0,0.0,0.0,20
bm25,linear_score_c20_a0.5_b0.25_m0_t0,50,0.9,0.88,6.12,6.24,linear,0.5,0.25,0.0,0.0,20
bm25,linear_score_c20_a0.5_b0.5_m0_t0,50,0.84,0.88,6.46,6.48,linear,0.5,0.5,0.0,0.0,20
bm25,linear_score_c20_a0.5_b0.75_m0_t0,50,0.82,0.8,6.84,6.94,linear,0.5,0.75,0.0,0.0,20
bm25,linear_score_c20_a0.5_b1_m0_t0,50,0.76,0.74,7.58,7.74,linear,0.5,1.0,0.0,0.0,20
bm25,linear_score_c20_a0.5_b1.5_m0_t0,50,0.24,0.12,14.52,16.42,linear,0.5,1.5,0.0,0.0,20
bm25,linear_score_c20_a0.5_b2_m0_t0,50,0.12,0.1,19.14,20.48,linear,0.5,2.0,0.0,0.0,20
bm25,linear_score_c20_a0.5_b3_m0_t0,50,0.06,0.06,20.94,21.42,linear,0.5,3.0,0.0,0.0,20
bm25,linear_score_c20_a0.75_b0.25_m0_t0,50,0.9,0.88,6.08,6.24,linear,0.75,0.25,0.0,0.0,20
bm25,linear_score_c20_a0.75_b0.5_m0_t0,50,0.88,0.88,6.14,6.28,linear,0.75,0.5,0.0,0.0,20
bm25,linear_score_c20_a0.75_b0.75_m0_t0,50,0.84,0.88,6.56,6.54,linear,0.75,0.75,0.0,0.0,20
bm25,linear_score_c20_a0.75_b1_m0_t0,50,0.82,0.8,7.06,7.14,linear,0.75,1.0,0.0,0.0,20
bm25,linear_score_c20_a0.75_b1.5_m0_t0,50,0.52,0.46,9.16,9.7,linear,0.75,1.5,0.0,0.0,20
bm25,linear_score_c20_a0.75_b2_m0_t0,50,0.16,0.1,17.22,19.7,linear,0.75,2.0,0.0,0.0,20
bm25,linear_score_c20_a0.75_b3_m0_t0,50,0.08,0.08,20.58,21.22,linear,0.75,3.0,0.0,0.0,20
bm25,linear_score_c20_a1_b0.25_m0_t0,50,0.9,0.88,6.02,6.22,linear,1.0,0.25,0.0,0.0,20
bm25,linear_score_c20_a1_b0.5_m0_t0,50,0.9,0.88,6.12,6.26,linear,1.0,0.5,0.0,0.0,20
bm25,linear_score_c20_a1_b0.75_m0_t0,50,0.88,0.88,6.18,6.34,linear,1.0,0.75,0.0,0.0,20
bm25,linear_score_c20_a1_b1_m0_t0,50,0.84,0.84,6.56,6.66,linear,1.0,1.0,0.0,0.0,20
bm25,linear_score_c20_a1_b1.5_m0_t0,50,0.72,0.68,7.9,8.12,linear,1.0,1.5,0.0,0.0,20
bm25,linear_score_c20_a1_b2_m0_t0,50,0.24,0.1,14.46,16.36,linear,1.0,2.0,0.0,0.0,20
bm25,linear_score_c20_a1_b3_m0_t0,50,0.08,0.1,20.3,20.94,linear,1.0,3.0,0.0,0.0,20
bm25,linear_score_c20_a1.5_b0.25_m0_t0,50,0.92,0.9,5.98,6.14,linear,1.5,0.25,0.0,0.0,20
bm25,linear_score_c20_a1.5_b0.5_m0_t0,50,0.9,0.88,6.04,6.18,linear,1.5,0.5,0.0,0.0,20
bm25,linear_score_c20_a1.5_b0.75_m0_t0,50,0.9,0.88,6.16,6.2,linear,1.5,0.75,0.0,0.0,20
bm25,linear_score_c20_a1.5_b1_m0_t0,50,0.9,0.88,6.2,6.3,linear,1.5,1.0,0.0,0.0,20
bm25,linear_score_c20_a1.5_b1.5_m0_t0,50,0.78,0.78,7.0,7.0,linear,1.5,1.5,0.0,0.0,20
bm25,linear_score_c20_a1.5_b2_m0_t0,50,0.66,0.62,8.26,8.58,linear,1.5,2.0,0.0,0.0,20
bm25,linear_score_c20_a1.5_b3_m0_t0,50,0.14,0.1,18.24,20.34,linear,1.5,3.0,0.0,0.0,20
bm25,linear_score_c20_a2_b0.25_m0_t0,50,0.92,0.9,5.98,6.14,linear,2.0,0.25,0.0,0.0,20
bm25,linear_score_c20_a2_b0.5_m0_t0,50,0.92,0.9,5.98,6.16,linear,2.0,0.5,0.0,0.0,20
bm25,linear_score_c20_a2_b0.75_m0_t0,50,0.92,0.88,6.02,6.18,linear,2.0,0.75,0.0,0.0,20
bm25,linear_score_c20_a2_b1_m0_t0,50,0.9,0.88,6.12,6.16,linear,2.0,1.0,0.0,0.0,20
bm25,linear_score_c20_a2_b1.5_m0_t0,50,0.84,0.84,6.36,6.48,linear,2.0,1.5,0.0,0.0,20
bm25,linear_score_c20_a2_b2_m0_t0,50,0.76,0.78,7.26,7.28,linear,2.0,2.0,0.0,0.0,20
bm25,linear_score_c20_a2_b3_m0_t0,50,0.24,0.1,14.4,16.4,linear,2.0,3.0,0.0,0.0,20
bm25,linear_score_call_a0_b0.25_m0_t0,50,0.84,0.8,6.88,7.6,linear,0.0,0.25,0.0,0.0,all
bm25,linear_score_call_a0_b0.5_m0_t0,50,0.72,0.76,11.7,12.44,linear,0.0,0.5,0.0,0.0,all
bm25,linear_score_call_a0_b0.75_m0_t0,50,0.38,0.24,22.14,23.34,linear,0.0,0.75,0.0,0.0,all
bm25,linear_score_call_a0_b1_m0_t0,50,0.12,0.1,62.28,73.98,linear,0.0,1.0,0.0,0.0,all
bm25,linear_score_call_a0_b1.5_m0_t0,50,0.06,0.08,87.38,89.86,linear,0.0,1.5,0.0,0.0,all
bm25,linear_score_call_a0_b2_m0_t0,50,0.04,0.04,91.4,91.5,linear,0.0,2.0,0.0,0.0,all
bm25,linear_score_call_a0_b3_m0_t0,50,0.04,0.04,92.62,94.06,linear,0.0,3.0,0.0,0.0,all
bm25,linear_score_call_a0.25_b0.25_m0_t0,50,0.82,0.88,5.9,6.48,linear,0.25,0.25,0.0,0.0,all
bm25,linear_score_call_a0.25_b0.5_m0_t0,50,0.82,0.78,7.24,8.48,linear,0.25,0.5,0.0,0.0,all
bm25,linear_score_call_a0.25_b0.75_m0_t0,50,0.64,0.7,12.72,13.02,linear,0.25,0.75,0.0,0.0,all
bm25,linear_score_call_a0.25_b1_m0_t0,50,0.28,0.18,25.1,26.88,linear,0.25,1.0,0.0,0.0,all
bm25,linear_score_call_a0.25_b1.5_m0_t0,50,0.08,0.08,77.32,86.2,linear,0.25,1.5,0.0,0.0,all
bm25,linear_score_call_a0.25_b2_m0_t0,50,0.04,0.06,87.94,90.06,linear,0.25,2.0,0.0,0.0,all
bm25,linear_score_call_a0.25_b3_m0_t0,50,0.04,0.04,92.0,93.4,linear,0.25,3.0,0.0,0.0,all
bm25,linear_score_call_a0.5_b0.25_m0_t0,50,0.86,0.88,4.0,4.42,linear,0.5,0.25,0.0,0.0,all
bm25,linear_score_call_a0.5_b0.5_m0_t0,50,0.82,0.86,5.6,6.42,linear,0.5,0.5,0.0,0.0,all
bm25,linear_score_call_a0.5_b0.75_m0_t0,50,0.74,0.76,7.98,9.52,linear,0.5,0.75,0.0,0.0,all
bm25,linear_score_call_a0.5_b1_m0_t0,50,0.62,0.6,13.7,14.26,linear,0.5,1.0,0.0,0.0,all
bm25,linear_score_call_a0.5_b1.5_m0_t0,50,0.16,0.1,61.18,73.66,linear,0.5,1.5,0.0,0.0,all
bm25,linear_score_call_a0.5_b2_m0_t0,50,0.08,0.08,83.0,87.86,linear,0.5,2.0,0.0,0.0,all
bm25,linear_score_call_a0.5_b3_m0_t0,50,0.04,0.04,90.9,91.1,linear,0.5,3.0,0.0,0.0,all
bm25,linear_score_call_a0.75_b0.25_m0_t0,50,0.88,0.88,3.44,3.52,linear,0.75,0.25,0.0,0.0,all
bm25,linear_score_call_a0.75_b0.5_m0_t0,50,0.86,0.88,3.78,4.74,linear,0.75,0.5,0.0,0.0,all
bm25,linear_score_call_a0.75_b0.75_m0_t0,50,0.82,0.8,5.42,6.68,linear,0.75,0.75,0.0,0.0,all
bm25,linear_score_call_a0.75_b1_m0_t0,50,0.68,0.68,9.26,10.3,linear,0.75,1.0,0.0,0.0,all
bm25,linear_score_call_a0.75_b1.5_m0_t0,50,0.22,0.1,29.62,34.18,linear,0.75,1.5,0.0,0.0,all
bm25,linear_score_call_a0.75_b2_m0_t0,50,0.12,0.1,73.14,83.96,linear,0.75,2.0,0.0,0.0,all
bm25,linear_score_call_a0.75_b3_m0_t0,50,0.04,0.04,87.96,89.96,linear,0.75,3.0,0.0,0.0,all
bm25,linear_score_call_a1_b0.25_m0_t0,50,0.92,0.88,2.88,2.92,linear,1.0,0.25,0.0,0.0,all
bm25,linear_score_call_a1_b0.5_m0_t0,50,0.88,0.88,3.16,3.48,linear,1.0,0.5,0.0,0.0,all
bm25,linear_score_call_a1_b0.75_m0_t0,50,0.82,0.86,3.9,5.06,linear,1.0,0.75,0.0,0.0,all
bm25,linear_score_call_a1_b1_m0_t0,50,0.76,0.78,5.6,6.94,linear,1.0,1.0,0.0,0.0,all
bm25,linear_score_call_a1_b1.5_m0_t0,50,0.5,0.4,15.84,18.5,linear,1.0,1.5,0.0,0.0,all
bm25,linear_score_call_a1_b2_m0_t0,50,0.16,0.1,59.72,71.66,linear,1.0,2.0,0.0,0.0,all
bm25,linear_score_call_a1_b3_m0_t0,50,0.08,0.08,85.8,88.5,linear,1.0,3.0,0.0,0.0,all
bm25,linear_score_call_a1.5_b0.25_m0_t0,50,0.92,0.9,2.52,2.12,linear,1.5,0.25,0.0,0.0,all
bm25,linear_score_call_a1.5_b0.5_m0_t0,50,0.9,0.88,2.56,2.52,linear,1.5,0.5,0.0,0.0,all
bm25,linear_score_call_a1.5_b0.75_m0_t0,50,0.88,0.88,2.76,3.08,linear,1.5,0.75,0.0,0.0,all
bm25,linear_score_call_a1.5_b1_m0_t0,50,0.86,0.84,3.2,4.3,linear,1.5,1.0,0.0,0.0,all
bm25,linear_score_call_a1.5_b1.5_m0_t0,50,0.68,0.7,7.46,9.06,linear,1.5,1.5,0.0,0.0,all
bm25,linear_score_call_a1.5_b2_m0_t0,50,0.4,0.28,19.64,22.14,linear,1.5,2.0,0.0,0.0,all
bm25,linear_score_call_a1.5_b3_m0_t0,50,0.08,0.1,75.28,84.68,linear,1.5,3.0,0.0,0.0,all
bm25,linear_score_call_a2_b0.25_m0_t0,50,0.92,0.9,2.48,2.0,linear,2.0,0.25,0.0,0.0,all
bm25,linear_score_call_a2_b0.5_m0_t0,50,0.9,0.88,2.5,2.18,linear,2.0,0.5,0.0,0.0,all
bm25,linear_score_call_a2_b0.75_m0_t0,50,0.9,0.88,2.54,2.42,linear,2.0,0.75,0.0,0.0,all
bm25,linear_score_call_a2_b1_m0_t0,50,0.88,0.88,2.68,2.98,linear,2.0,1.0,0.0,0.0,all
bm25,linear_score_call_a2_b1.5_m0_t0,50,0.74,0.82,3.92,5.2,linear,2.0,1.5,0.0,0.0,all
bm25,linear_score_call_a2_b2_m0_t0,50,0.64,0.6,9.98,11.42,linear,2.0,2.0,0.0,0.0,all
bm25,linear_score_call_a2_b3_m0_t0,50,0.18,0.1,58.16,69.64,linear,2.0,3.0,0.0,0.0,all
bm25,hinge_score_c5_a0_b0.25_m0_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.25,0.0,0.0,5
bm25,hinge_score_c5_a0_b0.25_m0.05_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.25,0.05,0.0,5
bm25,hinge_score_c5_a0_b0.25_m0.1_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.25,0.1,0.0,5
bm25,hinge_score_c5_a0_b0.25_m0.2_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.25,0.2,0.0,5
bm25,hinge_score_c5_a0_b0.25_m0.3_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.25,0.3,0.0,5
bm25,hinge_score_c5_a0_b0.5_m0_t0,50,0.86,0.86,6.16,6.36,hinge,0.0,0.5,0.0,0.0,5
bm25,hinge_score_c5_a0_b0.5_m0.05_t0,50,0.86,0.86,6.16,6.36,hinge,0.0,0.5,0.05,0.0,5
bm25,hinge_score_c5_a0_b0.5_m0.1_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.5,0.1,0.0,5
bm25,hinge_score_c5_a0_b0.5_m0.2_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.5,0.2,0.0,5
bm25,hinge_score_c5_a0_b0.5_m0.3_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.5,0.3,0.0,5
bm25,hinge_score_c5_a0_b0.75_m0_t0,50,0.86,0.86,6.16,6.36,hinge,0.0,0.75,0.0,0.0,5
bm25,hinge_score_c5_a0_b0.75_m0.05_t0,50,0.86,0.86,6.16,6.36,hinge,0.0,0.75,0.05,0.0,5
bm25,hinge_score_c5_a0_b0.75_m0.1_t0,50,0.88,0.86,6.14,6.36,hinge,0.0,0.75,0.1,0.0,5
bm25,hinge_score_c5_a0_b0.75_m0.2_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.75,0.2,0.0,5
bm25,hinge_score_c5_a0_b0.75_m0.3_t0,50,0.88,0.86,6.12,6.36,hinge,0.0,0.75,0.3,0.0,5
bm25,hinge_score_c5_a0_b1_m0_t0,50,0.86,0.86,6.14,6.38,hinge,0.0,1.0,0.0,0.0,5
