embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.26,1000,112.288,2744.739,0.928,0.389,-0.0030000000000000027,-0.28,0.939,0.445,-0.0030000000000000027,-0.294,0.944,0.476,-0.009000000000000008,-0.29500000000000004,0.95,0.497,-0.007000000000000006,-0.29000000000000004,0.94025,0.45175,-0.005499999999999949,-0.28974999999999995,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.27,1000,114.441,2969.973,0.928,0.379,-0.0030000000000000027,-0.29000000000000004,0.94,0.427,-0.0020000000000000018,-0.312,0.945,0.466,-0.008000000000000007,-0.305,0.949,0.483,-0.008000000000000007,-0.30400000000000005,0.9404999999999999,0.43875,-0.005250000000000088,-0.30274999999999996,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.28,1000,116.465,3208.769,0.928,0.367,-0.0030000000000000027,-0.30200000000000005,0.941,0.418,-0.0010000000000000009,-0.321,0.945,0.454,-0.008000000000000007,-0.317,0.949,0.476,-0.008000000000000007,-0.31100000000000005,0.94075,0.42874999999999996,-0.0050000000000000044,-0.31275,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.29,1000,118.256,3463.215,0.927,0.356,-0.0040000000000000036,-0.31300000000000006,0.94,0.41,-0.0020000000000000018,-0.329,0.945,0.434,-0.008000000000000007,-0.337,0.949,0.466,-0.008000000000000007,-0.321,0.9402499999999999,0.4165,-0.00550000000000006,-0.32499999999999996,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.30,1000,119.986,3735.19,0.928,0.344,-0.0030000000000000027,-0.32500000000000007,0.94,0.401,-0.0020000000000000018,-0.33799999999999997,0.944,0.424,-0.009000000000000008,-0.34700000000000003,0.95,0.449,-0.007000000000000006,-0.338,0.9404999999999999,0.4045,-0.005250000000000088,-0.3369999999999999,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.11,1000,16.248,873.179,0.936,0.578,0.0010000000000000009,-0.11599999999999999,0.943,0.631,0.0,-0.11699999999999999,0.949,0.668,0.0020000000000000018,-0.10699999999999998,0.951,0.688,-0.0050000000000000044,-0.10200000000000009,0.94475,0.6412500000000001,-0.000500000000000056,-0.11049999999999993,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.12,1000,16.911,956.874,0.936,0.568,0.0010000000000000009,-0.126,0.943,0.624,0.0,-0.124,0.949,0.658,0.0020000000000000018,-0.11699999999999999,0.951,0.677,-0.0050000000000000044,-0.11299999999999999,0.94475,0.63175,-0.000500000000000056,-0.12,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.13,1000,17.707,1047.389,0.936,0.558,0.0010000000000000009,-0.1359999999999999,0.942,0.612,-0.0010000000000000009,-0.136,0.949,0.648,0.0020000000000000018,-0.127,0.951,0.665,-0.0050000000000000044,-0.125,0.9445,0.62075,-0.0007500000000000284,-0.131,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.14,1000,18.644,1144.365,0.936,0.547,0.0010000000000000009,-0.1469999999999999,0.942,0.605,-0.0010000000000000009,-0.14300000000000002,0.949,0.637,0.0020000000000000018,-0.138,0.952,0.656,-0.0040000000000000036,-0.134,0.94475,0.6112500000000001,-0.000500000000000056,-0.14049999999999996,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.15,1000,19.738,1247.942,0.936,0.535,0.0010000000000000009,-0.15899999999999992,0.942,0.597,-0.0010000000000000009,-0.15100000000000002,0.949,0.627,0.0020000000000000018,-0.14800000000000002,0.951,0.644,-0.0050000000000000044,-0.14600000000000002,0.9445,0.60075,-0.0007500000000000284,-0.15100000000000002,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.16,1000,21.01,1360.407,0.935,0.524,0.0,-0.16999999999999993,0.941,0.587,-0.0020000000000000018,-0.16100000000000003,0.947,0.614,0.0,-0.16100000000000003,0.951,0.635,-0.0050000000000000044,-0.15500000000000003,0.9435,0.5900000000000001,-0.0017500000000000293,-0.16174999999999995,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.17,1000,22.428,1481.718,0.934,0.519,-0.0010000000000000009,-0.17499999999999993,0.941,0.577,-0.0020000000000000018,-0.17100000000000004,0.947,0.601,0.0,-0.17400000000000004,0.951,0.621,-0.0050000000000000044,-0.16900000000000004,0.94325,0.5795,-0.0020000000000000018,-0.17225000000000001,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.18,1000,24.053,1611.896,0.933,0.511,-0.0020000000000000018,-0.18299999999999994,0.94,0.563,-0.0030000000000000027,-0.18500000000000005,0.947,0.593,0.0,-0.18200000000000005,0.95,0.611,-0.006000000000000005,-0.17900000000000005,0.9424999999999999,0.5694999999999999,-0.0027500000000001412,-0.18225000000000013,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.19,1000,25.882,1752.917,0.933,0.501,-0.0020000000000000018,-0.19299999999999995,0.939,0.555,-0.0040000000000000036,-0.19299999999999995,0.947,0.586,0.0,-0.18900000000000006,0.95,0.603,-0.006000000000000005,-0.18700000000000006,0.94225,0.56125,-0.0030000000000000027,-0.1905,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.20,1000,28.007,1906.232,0.932,0.491,-0.0030000000000000027,-0.20299999999999996,0.939,0.543,-0.0040000000000000036,-0.20499999999999996,0.947,0.579,0.0,-0.19600000000000006,0.951,0.596,-0.0050000000000000044,-0.19400000000000006,0.94225,0.55225,-0.0030000000000000027,-0.1995,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.21,1000,30.392,2073.158,0.932,0.474,-0.0030000000000000027,-0.21999999999999997,0.94,0.533,-0.0030000000000000027,-0.21499999999999997,0.946,0.571,-0.0010000000000000009,-0.20400000000000007,0.951,0.587,-0.0050000000000000044,-0.20300000000000007,0.9422499999999999,0.54125,-0.0030000000000001137,-0.21050000000000002,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.22,1000,33.024,2253.882,0.932,0.467,-0.0030000000000000027,-0.22699999999999992,0.941,0.509,-0.0020000000000000018,-0.239,0.946,0.557,-0.0010000000000000009,-0.21799999999999997,0.951,0.581,-0.0050000000000000044,-0.20900000000000007,0.9425,0.5285,-0.00275000000000003,-0.22325000000000006,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.23,1000,35.981,2450.335,0.932,0.461,-0.0030000000000000027,-0.23299999999999993,0.941,0.498,-0.0020000000000000018,-0.25,0.945,0.541,-0.0020000000000000018,-0.23399999999999999,0.951,0.565,-0.0050000000000000044,-0.2250000000000001,0.94225,0.51625,-0.0030000000000000027,-0.23550000000000004,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.24,1000,39.114,2664.27,0.932,0.454,-0.0030000000000000027,-0.23999999999999994,0.941,0.492,-0.0020000000000000018,-0.256,0.945,0.525,-0.0020000000000000018,-0.25,0.951,0.552,-0.0050000000000000044,-0.238,0.94225,0.50575,-0.0030000000000000027,-0.246,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.25,1000,42.572,2895.48,0.932,0.445,-0.0030000000000000027,-0.24899999999999994,0.941,0.485,-0.0020000000000000018,-0.263,0.944,0.517,-0.0030000000000000027,-0.258,0.951,0.539,-0.0050000000000000044,-0.251,0.9420000000000001,0.49650000000000005,-0.003249999999999975,-0.25525,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.26,1000,46.29,3144.718,0.932,0.436,-0.0030000000000000027,-0.25799999999999995,0.941,0.477,-0.0020000000000000018,-0.271,0.944,0.507,-0.0030000000000000027,-0.268,0.951,0.53,-0.0050000000000000044,-0.26,0.9420000000000001,0.4875,-0.003249999999999975,-0.26425000000000004,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.27,1000,50.24,3414.626,0.934,0.425,-0.0010000000000000009,-0.26899999999999996,0.94,0.468,-0.0030000000000000027,-0.27999999999999997,0.944,0.499,-0.0030000000000000027,-0.276,0.951,0.522,-0.0050000000000000044,-0.268,0.94225,0.4785,-0.0030000000000000027,-0.27325000000000005,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.28,1000,54.528,3704.882,0.934,0.416,-0.0010000000000000009,-0.27799999999999997,0.94,0.458,-0.0030000000000000027,-0.29,0.943,0.485,-0.0040000000000000036,-0.29000000000000004,0.951,0.511,-0.0050000000000000044,-0.279,0.9420000000000001,0.4675,-0.003249999999999975,-0.28425,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.29,1000,58.851,4015.416,0.934,0.404,-0.0010000000000000009,-0.2899999999999999,0.939,0.448,-0.0040000000000000036,-0.3,0.943,0.476,-0.0040000000000000036,-0.29900000000000004,0.951,0.502,-0.0050000000000000044,-0.28800000000000003,0.94175,0.4575,-0.0035000000000000586,-0.29425,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.30,1000,63.477,4347.139,0.933,0.394,-0.0020000000000000018,-0.29999999999999993,0.938,0.435,-0.0050000000000000044,-0.313,0.944,0.465,-0.0030000000000000027,-0.31,0.951,0.488,-0.0050000000000000044,-0.30200000000000005,0.9415,0.4455,-0.003750000000000031,-0.30625,False,False,True,True
