retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3,score_anti_rrf_c10_a0_b1,1000,0.934,38.533,66.092,0.851,0.028,0.823,0.909,0.165,0.744,0.939,0.364,0.575,0.952,0.625,0.32699999999999996,0.61725,0.0,1.0,10
bge-m3,score_anti_rrf_c10_a0.25_b0.3,1000,0.698,38.264,61.499,0.906,0.714,0.19200000000000006,0.938,0.795,0.1429999999999999,0.954,0.842,0.11199999999999999,0.956,0.891,0.06499999999999995,0.12799999999999997,0.25,0.3,10
bge-m3,score_anti_rrf_c10_a0.25_b0.5,1000,0.778,38.166,62.207,0.916,0.61,0.30600000000000005,0.944,0.712,0.23199999999999998,0.956,0.782,0.17399999999999993,0.956,0.857,0.09899999999999998,0.20274999999999999,0.25,0.5,10
bge-m3,score_anti_rrf_c10_a0.25_b0.75,1000,0.852,38.103,63.301,0.918,0.443,0.47500000000000003,0.945,0.565,0.38,0.955,0.677,0.2779999999999999,0.956,0.799,0.15699999999999992,0.3225,0.25,0.75,10
bge-m3,score_anti_rrf_c10_a0.25_b1,1000,0.922,38.099,64.694,0.92,0.225,0.6950000000000001,0.945,0.391,0.5539999999999999,0.954,0.536,0.4179999999999999,0.956,0.715,0.241,0.477,0.25,1.0,10
bge-m3,score_anti_rrf_c10_a0.5_b0.3,1000,0.699,38.172,61.319,0.93,0.745,0.18500000000000005,0.949,0.809,0.1399999999999999,0.955,0.859,0.09599999999999997,0.957,0.897,0.05999999999999994,0.12024999999999997,0.5,0.3,10
bge-m3,score_anti_rrf_c10_a0.5_b0.5,1000,0.772,38.081,61.858,0.935,0.676,0.259,0.951,0.755,0.19599999999999995,0.955,0.81,0.1449999999999999,0.957,0.871,0.08599999999999997,0.17149999999999996,0.5,0.5,10
bge-m3,score_anti_rrf_c10_a0.5_b0.75,1000,0.839,38.005,62.72,0.939,0.538,0.4009999999999999,0.951,0.655,0.29599999999999993,0.956,0.721,0.235,0.957,0.825,0.132,0.26599999999999996,0.5,0.75,10
bge-m3,score_anti_rrf_c10_a0.5_b1,1000,0.895,37.981,63.797,0.936,0.374,0.562,0.952,0.505,0.44699999999999995,0.955,0.631,0.32399999999999995,0.956,0.764,0.19199999999999995,0.3812499999999999,0.5,1.0,10
bge-m3,score_anti_rrf_c10_a0.75_b0.3,1000,0.704,38.137,61.198,0.937,0.768,0.16900000000000004,0.951,0.83,0.121,0.955,0.871,0.08399999999999996,0.957,0.901,0.05599999999999994,0.10749999999999998,0.75,0.3,10
bge-m3,score_anti_rrf_c10_a0.75_b0.5,1000,0.761,38.067,61.641,0.946,0.709,0.237,0.951,0.778,0.17299999999999993,0.955,0.825,0.13,0.957,0.885,0.07199999999999995,0.15299999999999997,0.75,0.5,10
bge-m3,score_anti_rrf_c10_a0.75_b0.75,1000,0.822,37.992,62.347,0.945,0.598,0.347,0.951,0.702,0.249,0.956,0.765,0.19099999999999995,0.957,0.844,0.11299999999999999,0.22499999999999998,0.75,0.75,10
bge-m3,score_anti_rrf_c10_a0.75_b1,1000,0.865,37.959,63.186,0.945,0.472,0.473,0.953,0.583,0.37,0.956,0.683,0.2729999999999999,0.957,0.795,0.16199999999999992,0.31949999999999995,0.75,1.0,10
bge-m3,score_anti_rrf_c10_a1_b0.3,1000,0.696,38.13,61.102,0.946,0.784,0.16199999999999992,0.951,0.841,0.10999999999999999,0.956,0.881,0.07499999999999996,0.957,0.902,0.05499999999999994,0.10049999999999995,1.0,0.3,10
bge-m3,score_anti_rrf_c10_a1_b0.5,1000,0.747,38.076,61.501,0.945,0.728,0.21699999999999997,0.951,0.795,0.15599999999999992,0.956,0.843,0.11299999999999999,0.957,0.889,0.06799999999999995,0.13849999999999996,1.0,0.5,10
bge-m3,score_anti_rrf_c10_a1_b0.75,1000,0.802,38.006,62.106,0.947,0.643,0.30399999999999994,0.952,0.734,0.21799999999999997,0.957,0.785,0.17199999999999993,0.957,0.852,0.10499999999999998,0.19974999999999996,1.0,0.75,10
bge-m3,score_anti_rrf_c10_a1_b1,1000,0.841,37.964,62.791,0.946,0.532,0.4139999999999999,0.953,0.636,0.31699999999999995,0.957,0.72,0.237,0.957,0.812,0.1449999999999999,0.27824999999999994,1.0,1.0,10
bge-m3,score_anti_rrf_c20_a0_b0.3,1000,0.701,38.821,63.152,0.831,0.607,0.22399999999999998,0.884,0.685,0.19899999999999995,0.911,0.731,0.18000000000000005,0.93,0.767,0.16300000000000003,0.1915,0.0,0.3,20
bge-m3,score_anti_rrf_c20_a0_b0.5,1000,0.786,38.758,65.226,0.828,0.44,0.38799999999999996,0.887,0.535,0.352,0.915,0.604,0.31100000000000005,0.933,0.646,0.28700000000000003,0.3345,0.0,0.5,20
bge-m3,score_anti_rrf_c20_a0_b0.75,1000,0.885,38.812,68.752,0.815,0.173,0.6419999999999999,0.871,0.274,0.597,0.908,0.368,0.54,0.929,0.453,0.47600000000000003,0.56375,0.0,0.75,20
bge-m3,score_anti_rrf_c20_a0_b1,1000,0.947,39.15,73.268,0.773,0.006,0.767,0.849,0.024,0.825,0.888,0.053,0.835,0.91,0.103,0.807,0.8085,0.0,1.0,20
bge-m3,score_anti_rrf_c20_a0.25_b0.3,1000,0.713,38.231,62.232,0.909,0.686,0.22299999999999998,0.937,0.759,0.17800000000000005,0.951,0.792,0.15899999999999992,0.959,0.83,0.129,0.17225,0.25,0.3,20
bge-m3,score_anti_rrf_c20_a0.25_b0.5,1000,0.788,38.123,63.787,0.917,0.558,0.359,0.94,0.645,0.29499999999999993,0.953,0.694,0.259,0.959,0.736,0.22299999999999998,0.284,0.25,0.5,20
bge-m3,score_anti_rrf_c20_a0.25_b0.75,1000,0.877,38.07,66.366,0.916,0.374,0.542,0.941,0.465,0.4759999999999999,0.951,0.531,0.41999999999999993,0.96,0.585,0.375,0.45325,0.25,0.75,20
bge-m3,score_anti_rrf_c20_a0.25_b1,1000,0.944,38.148,69.719,0.898,0.137,0.761,0.928,0.234,0.6940000000000001,0.95,0.318,0.6319999999999999,0.958,0.369,0.589,0.6689999999999999,0.25,1.0,20
bge-m3,score_anti_rrf_c20_a0.5_b0.3,1000,0.708,38.061,61.722,0.941,0.732,0.20899999999999996,0.954,0.793,0.16099999999999992,0.961,0.833,0.128,0.964,0.86,0.10399999999999998,0.15049999999999997,0.5,0.3,20
bge-m3,score_anti_rrf_c20_a0.5_b0.5,1000,0.783,37.968,62.921,0.942,0.638,0.30399999999999994,0.958,0.713,0.245,0.963,0.758,0.20499999999999996,0.965,0.79,0.17499999999999993,0.23224999999999996,0.5,0.5,20
bge-m3,score_anti_rrf_c20_a0.5_b0.75,1000,0.855,37.899,64.915,0.942,0.488,0.45399999999999996,0.958,0.565,0.393,0.962,0.625,0.33699999999999997,0.966,0.677,0.2889999999999999,0.36824999999999997,0.5,0.75,20
