retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
inf-retriever-v1,score_anti_rrf_no_target_c10_a0_b0.5,1000,0.97,19.655,45.53,0.206,0.0,0.206,0.355,0.0,0.355,0.54,0.0,0.54,0.938,0.003,0.9349999999999999,0.509,0.0,0.5,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0_b0.75,1000,0.97,19.655,45.53,0.206,0.0,0.206,0.355,0.0,0.355,0.54,0.0,0.54,0.938,0.003,0.9349999999999999,0.509,0.0,0.75,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0_b1,1000,0.97,19.655,45.53,0.206,0.0,0.206,0.355,0.0,0.355,0.54,0.0,0.54,0.938,0.003,0.9349999999999999,0.509,0.0,1.0,10
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.5_b0.3,1000,0.889,14.814,45.312,0.955,0.394,0.5609999999999999,0.958,0.448,0.51,0.963,0.48,0.483,0.965,0.502,0.46299999999999997,0.50425,0.5,0.3,20
inf-retriever-v1,score_anti_rrf_no_target_call_a0.75_b1,1000,0.998,8555.93,89993.863,0.472,0.0,0.472,0.495,0.0,0.495,0.509,0.0,0.509,0.526,0.0,0.526,0.5005,0.75,1.0,all
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.75_b0.5,1000,0.904,14.762,41.911,0.953,0.371,0.582,0.958,0.427,0.5309999999999999,0.963,0.485,0.478,0.968,0.572,0.396,0.49675,0.75,0.5,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.5_b0.3,1000,0.879,14.784,41.594,0.954,0.401,0.5529999999999999,0.957,0.466,0.49099999999999994,0.963,0.515,0.44799999999999995,0.968,0.611,0.357,0.46224999999999994,0.5,0.3,10
inf-retriever-v1,score_anti_rrf_no_target_c20_a1_b0.5,1000,0.859,14.83,44.117,0.955,0.452,0.5029999999999999,0.957,0.505,0.45199999999999996,0.963,0.546,0.4169999999999999,0.965,0.571,0.394,0.4415,1.0,0.5,20
inf-retriever-v1,score_anti_rrf_no_target_call_a1_b0.3,1000,0.864,26.144,1506.039,0.954,0.456,0.49799999999999994,0.956,0.527,0.42899999999999994,0.961,0.559,0.4019999999999999,0.965,0.581,0.384,0.4282499999999999,1.0,0.3,all
inf-retriever-v1,score_anti_rrf_no_target_c10_a1_b0.5,1000,0.848,14.803,41.069,0.955,0.463,0.49199999999999994,0.957,0.534,0.42299999999999993,0.964,0.585,0.379,0.97,0.662,0.30799999999999994,0.40049999999999997,1.0,0.5,10
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.75_b0.3,1000,0.834,14.843,42.827,0.955,0.523,0.43199999999999994,0.958,0.589,0.369,0.962,0.626,0.33599999999999997,0.965,0.652,0.31299999999999994,0.3625,0.75,0.3,20
inf-retriever-v1,score_anti_rrf_no_target_call_a0.5_b0.75,1000,0.999,15267.039,90305.936,0.335,0.0,0.335,0.351,0.0,0.351,0.362,0.0,0.362,0.369,0.0,0.369,0.35425,0.5,0.75,all
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.75_b0.3,1000,0.827,14.827,40.53,0.952,0.528,0.42399999999999993,0.957,0.61,0.347,0.963,0.651,0.31199999999999994,0.97,0.709,0.261,0.33599999999999997,0.75,0.3,10
inf-retriever-v1,score_anti_rrf_no_target_c20_a1_b0.3,1000,0.806,14.865,41.562,0.951,0.6,0.351,0.959,0.667,0.2919999999999999,0.964,0.697,0.267,0.967,0.722,0.245,0.28874999999999995,1.0,0.3,20
inf-retriever-v1,score_anti_rrf_no_target_c5_a0.5_b0.75,1000,0.955,14.995,41.029,0.913,0.019,0.894,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.2855,0.5,0.75,5
inf-retriever-v1,score_anti_rrf_no_target_c5_a0.75_b1,1000,0.954,14.934,40.967,0.927,0.036,0.891,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.28474999999999995,0.75,1.0,5
inf-retriever-v1,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.953,14.881,40.863,0.937,0.065,0.8720000000000001,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.28,0.25,0.3,5
