embedding_model,condition,candidate_top_n,strict_tradeoff_start_beta,avg_tradeoff_start_beta,first_avg_violation_lower_beta,best_strict_beta,best_strict_avg_recall,best_strict_avg_violation,best_avg_kept_beta,best_avg_kept_avg_recall,best_avg_kept_avg_violation
text-embedding-3-small,target - beta*q_trap,all,0.01,0.01,0.01,,,,,,
text-embedding-3-large,target - beta*q_trap,all,0.01,0.10,0.01,,,,0.09,0.9736842105263157,0.881578947368421
Qwen/Qwen3-Embedding-0.6B,target - beta*q_trap,all,0.01,0.01,0.01,,,,,,
Qwen/Qwen3-Embedding-4B,target - beta*q_trap,all,0.17,0.22,0.01,0.16,0.9752321981424148,0.8382352941176472,0.21,0.9713622291021673,0.8157894736842106
