embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.05,1000,59.272,397.546,0.931,0.614,0.0,-0.05500000000000005,0.941,0.676,-0.0010000000000000009,-0.06299999999999994,0.954,0.707,0.0010000000000000009,-0.06400000000000006,0.957,0.735,0.0,-0.052000000000000046,0.9457499999999999,0.6829999999999999,-1.1102230246251565e-16,-0.058499999999999996,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.06,1000,60.558,438.074,0.93,0.598,-0.0010000000000000009,-0.07100000000000006,0.943,0.667,0.0010000000000000009,-0.07199999999999995,0.954,0.695,0.0010000000000000009,-0.07600000000000007,0.957,0.721,0.0,-0.06600000000000006,0.946,0.67025,0.00024999999999997247,-0.07124999999999992,False,True,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.07,1000,62.003,483.29,0.931,0.591,0.0,-0.07800000000000007,0.944,0.654,0.0020000000000000018,-0.08499999999999996,0.954,0.684,0.0010000000000000009,-0.08699999999999997,0.957,0.708,0.0,-0.07900000000000007,0.9464999999999999,0.6592500000000001,0.0007499999999999174,-0.08224999999999982,True,True,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.08,1000,63.7,532.86,0.931,0.581,0.0,-0.08800000000000008,0.943,0.647,0.0010000000000000009,-0.09199999999999997,0.953,0.671,0.0,-0.09999999999999998,0.957,0.695,0.0,-0.09200000000000008,0.946,0.6485,0.00024999999999997247,-0.09299999999999997,True,True,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.09,1000,65.593,587.534,0.931,0.571,0.0,-0.09800000000000009,0.943,0.64,0.0010000000000000009,-0.09899999999999998,0.952,0.667,-0.0010000000000000009,-0.10399999999999998,0.956,0.682,-0.0010000000000000009,-0.10499999999999998,0.9455,0.64,-0.00024999999999997247,-0.10149999999999992,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.10,1000,67.626,648.257,0.93,0.563,-0.0010000000000000009,-0.1060000000000001,0.944,0.622,0.0020000000000000018,-0.11699999999999999,0.952,0.659,-0.0010000000000000009,-0.11199999999999999,0.955,0.674,-0.0020000000000000018,-0.11299999999999999,0.94525,0.6295000000000001,-0.0004999999999999449,-0.11199999999999988,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.00,1000,13.013,299.54,0.935,0.694,0.0,0.0,0.943,0.748,0.0,0.0,0.947,0.775,0.0,0.0,0.956,0.79,0.0,0.0,0.94525,0.75175,0.0,0.0,True,True,False,False
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.01,1000,13.12,331.112,0.934,0.679,-0.0010000000000000009,-0.014999999999999902,0.943,0.738,0.0,-0.010000000000000009,0.949,0.769,0.0020000000000000018,-0.006000000000000005,0.955,0.782,-0.0010000000000000009,-0.008000000000000007,0.94525,0.742,0.0,-0.009750000000000036,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.02,1000,13.261,365.674,0.935,0.674,0.0,-0.019999999999999907,0.943,0.729,0.0,-0.019000000000000017,0.949,0.76,0.0020000000000000018,-0.015000000000000013,0.954,0.778,-0.0020000000000000018,-0.01200000000000001,0.9452499999999999,0.7352500000000001,-1.1102230246251565e-16,-0.01649999999999996,False,False,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.03,1000,13.398,403.603,0.936,0.665,0.0010000000000000009,-0.028999999999999915,0.944,0.718,0.0010000000000000009,-0.030000000000000027,0.949,0.752,0.0020000000000000018,-0.02300000000000002,0.954,0.771,-0.0020000000000000018,-0.019000000000000017,0.9457499999999999,0.7264999999999999,0.0004999999999998339,-0.025250000000000106,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.04,1000,13.595,445.682,0.936,0.655,0.0010000000000000009,-0.038999999999999924,0.944,0.706,0.0010000000000000009,-0.04200000000000004,0.949,0.744,0.0020000000000000018,-0.031000000000000028,0.954,0.76,-0.0020000000000000018,-0.030000000000000027,0.9457499999999999,0.71625,0.0004999999999998339,-0.035499999999999976,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.05,1000,13.815,491.865,0.935,0.644,0.0,-0.04999999999999993,0.944,0.7,0.0010000000000000009,-0.04800000000000004,0.95,0.734,0.0030000000000000027,-0.041000000000000036,0.954,0.756,-0.0020000000000000018,-0.03400000000000003,0.9457499999999999,0.7084999999999999,0.0004999999999998339,-0.04325000000000012,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.06,1000,14.088,541.927,0.935,0.632,0.0,-0.061999999999999944,0.944,0.689,0.0010000000000000009,-0.05900000000000005,0.951,0.723,0.0040000000000000036,-0.052000000000000046,0.954,0.745,-0.0020000000000000018,-0.04500000000000004,0.946,0.69725,0.0007499999999999174,-0.05449999999999999,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.07,1000,14.398,597.116,0.936,0.623,0.0010000000000000009,-0.07099999999999995,0.944,0.674,0.0010000000000000009,-0.07399999999999995,0.952,0.708,0.0050000000000000044,-0.06700000000000006,0.953,0.734,-0.0030000000000000027,-0.05600000000000005,0.9462499999999999,0.68475,0.0009999999999998899,-0.06700000000000006,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.08,1000,14.756,657.644,0.936,0.609,0.0010000000000000009,-0.08499999999999996,0.943,0.665,0.0,-0.08299999999999996,0.951,0.7,0.0040000000000000036,-0.07500000000000007,0.953,0.729,-0.0030000000000000027,-0.061000000000000054,0.94575,0.67575,0.0004999999999999449,-0.07600000000000007,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.09,1000,15.155,724.079,0.936,0.601,0.0010000000000000009,-0.09299999999999997,0.943,0.651,0.0,-0.09699999999999998,0.951,0.688,0.0040000000000000036,-0.08700000000000008,0.953,0.716,-0.0030000000000000027,-0.07400000000000007,0.94575,0.6639999999999999,0.0004999999999999449,-0.0877500000000001,False,True,True,True
Qwen/Qwen3-Embedding-4B,baseline - beta*q_trap,all,0.10,1000,15.666,795.798,0.936,0.592,0.0010000000000000009,-0.10199999999999998,0.943,0.647,0.0,-0.10099999999999998,0.95,0.675,0.0030000000000000027,-0.09999999999999998,0.953,0.699,-0.0030000000000000027,-0.09100000000000008,0.9454999999999999,0.65325,0.00024999999999986144,-0.09850000000000003,False,True,True,True
