embedding_model	condition	candidate_top_n	beta	avg_recall	avg_violation	recall@3	recall@5	recall@7	recall@9	violation@3	violation@5	violation@7	violation@9
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.12	0.944	0.6075	0.929	0.941	0.951	0.955	0.539	0.602	0.635	0.654
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.13	0.943	0.59725	0.929	0.941	0.948	0.954	0.527	0.59	0.626	0.646
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.14	0.94275	0.58825	0.929	0.941	0.947	0.954	0.516	0.583	0.614	0.64
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.15	0.942	0.57475	0.929	0.941	0.947	0.951	0.506	0.568	0.6	0.625
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.16	0.9425	0.5595	0.929	0.941	0.948	0.952	0.492	0.554	0.584	0.608
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.17	0.9415	0.54825	0.928	0.941	0.947	0.95	0.479	0.546	0.575	0.593
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.18	0.9415	0.5375	0.929	0.941	0.947	0.949	0.473	0.531	0.567	0.579
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.19	0.94175	0.52625	0.93	0.941	0.947	0.949	0.461	0.52	0.552	0.572
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.20	0.94175	0.51775	0.93	0.941	0.947	0.949	0.453	0.509	0.545	0.564
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.21	0.94175	0.50575	0.93	0.941	0.947	0.949	0.442	0.495	0.532	0.554
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.22	0.9415	0.4955	0.93	0.941	0.946	0.949	0.431	0.483	0.522	0.546
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.23	0.9415	0.48525	0.93	0.941	0.945	0.95	0.423	0.476	0.511	0.531
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.24	0.9415	0.472	0.93	0.941	0.945	0.95	0.412	0.462	0.495	0.519
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.25	0.941	0.46125	0.929	0.94	0.944	0.951	0.403	0.454	0.483	0.505
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.26	0.94025	0.45175	0.928	0.939	0.944	0.95	0.389	0.445	0.476	0.497
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.27	0.9405	0.43875	0.928	0.94	0.945	0.949	0.379	0.427	0.466	0.483
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.28	0.94075	0.42875	0.928	0.941	0.945	0.949	0.367	0.418	0.454	0.476
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.29	0.94025	0.4165	0.927	0.94	0.945	0.949	0.356	0.41	0.434	0.466
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.30	0.9405	0.4045	0.928	0.94	0.944	0.95	0.344	0.401	0.424	0.449
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.00	0.94525	0.75175	0.935	0.943	0.947	0.956	0.694	0.748	0.775	0.79
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.01	0.94525	0.742	0.934	0.943	0.949	0.955	0.679	0.738	0.769	0.782
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.02	0.94525	0.73525	0.935	0.943	0.949	0.954	0.674	0.729	0.76	0.778
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.03	0.94575	0.7265	0.936	0.944	0.949	0.954	0.665	0.718	0.752	0.771
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.04	0.94575	0.71625	0.936	0.944	0.949	0.954	0.655	0.706	0.744	0.76
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.05	0.94575	0.7085	0.935	0.944	0.95	0.954	0.644	0.7	0.734	0.756
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.06	0.946	0.69725	0.935	0.944	0.951	0.954	0.632	0.689	0.723	0.745
Qwen/Qwen3-Embedding-4B	baseline - beta*q_trap	all	0.07	0.94625	0.68475	0.936	0.944	0.952	0.953	0.623	0.674	0.708	0.734
