embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.10,1000,67.626,648.257,0.93,0.563,-0.0010000000000000009,-0.1060000000000001,0.944,0.622,0.0020000000000000018,-0.11699999999999999,0.952,0.659,-0.0010000000000000009,-0.11199999999999999,0.955,0.674,-0.0020000000000000018,-0.11299999999999999,0.94525,0.6295000000000001,-0.0004999999999999449,-0.11199999999999988,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.11,1000,69.992,714.754,0.929,0.549,-0.0020000000000000018,-0.12,0.943,0.61,0.0010000000000000009,-0.129,0.951,0.645,-0.0020000000000000018,-0.126,0.955,0.666,-0.0020000000000000018,-0.121,0.9445,0.6175,-0.0012499999999999734,-0.12399999999999989,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.12,1000,72.458,787.215,0.929,0.539,-0.0020000000000000018,-0.13,0.941,0.602,-0.0010000000000000009,-0.137,0.951,0.635,-0.0020000000000000018,-0.136,0.955,0.654,-0.0020000000000000018,-0.133,0.9440000000000001,0.6075,-0.0017499999999999183,-0.1339999999999999,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.13,1000,75.048,866.439,0.929,0.527,-0.0020000000000000018,-0.14200000000000002,0.941,0.59,-0.0010000000000000009,-0.14900000000000002,0.948,0.626,-0.0050000000000000044,-0.14500000000000002,0.954,0.646,-0.0030000000000000027,-0.14100000000000001,0.9430000000000001,0.59725,-0.002749999999999919,-0.14425,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.14,1000,77.764,954.115,0.929,0.516,-0.0020000000000000018,-0.15300000000000002,0.941,0.583,-0.0010000000000000009,-0.15600000000000003,0.947,0.614,-0.006000000000000005,-0.15700000000000003,0.954,0.64,-0.0030000000000000027,-0.14700000000000002,0.94275,0.58825,-0.0030000000000000027,-0.1532499999999999,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.15,1000,80.696,1049.267,0.929,0.506,-0.0020000000000000018,-0.16300000000000003,0.941,0.568,-0.0010000000000000009,-0.17100000000000004,0.947,0.6,-0.006000000000000005,-0.17100000000000004,0.951,0.625,-0.006000000000000005,-0.16200000000000003,0.9420000000000001,0.57475,-0.00374999999999992,-0.16674999999999995,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.16,1000,83.653,1152.743,0.929,0.492,-0.0020000000000000018,-0.17700000000000005,0.941,0.554,-0.0010000000000000009,-0.18499999999999994,0.948,0.584,-0.0050000000000000044,-0.18700000000000006,0.952,0.608,-0.0050000000000000044,-0.17900000000000005,0.9425,0.5595,-0.003249999999999975,-0.18199999999999994,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.17,1000,86.71,1265.094,0.928,0.479,-0.0030000000000000027,-0.19000000000000006,0.941,0.546,-0.0010000000000000009,-0.19299999999999995,0.947,0.575,-0.006000000000000005,-0.19600000000000006,0.95,0.593,-0.007000000000000006,-0.19400000000000006,0.9415,0.5482499999999999,-0.004249999999999976,-0.19325000000000003,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.18,1000,89.756,1387.076,0.929,0.473,-0.0020000000000000018,-0.19600000000000006,0.941,0.531,-0.0010000000000000009,-0.20799999999999996,0.947,0.567,-0.006000000000000005,-0.20400000000000007,0.949,0.579,-0.008000000000000007,-0.20800000000000007,0.9415,0.5375,-0.004249999999999976,-0.20399999999999996,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.19,1000,92.823,1518.409,0.93,0.461,-0.0010000000000000009,-0.20800000000000002,0.941,0.52,-0.0010000000000000009,-0.21899999999999997,0.947,0.552,-0.006000000000000005,-0.21899999999999997,0.949,0.572,-0.008000000000000007,-0.21500000000000008,0.94175,0.52625,-0.0040000000000000036,-0.21524999999999994,False,False,True,True
